rd1	rd1_monOrder	rd1Ori	rd2	rd2_monOrder	rd2Ori	insSizeEstimate	insVector
944282503	m30v2	R	NA	NaN	NaN	10201	lgPlasmid
980728519	m22v3,m23v1	F	NA	NaN	NaN	1925	smPlasmid
944269047	m12v1,m72907v1	F	NA	NaN	NaN	10201	lgPlasmid
978875332	m31v1,m32v4	F	NA	NaN	NaN	1925	smPlasmid
978871248	m5v6,m6v1	R	NA	NaN	NaN	1925	smPlasmid
948295801	m24v7,m25v1	R	NA	NaN	NaN	10201	lgPlasmid
952157568	m11v7	F	NA	NaN	NaN	1925	smPlasmid
972562336	m22v3,m23v1	F	NA	NaN	NaN	1925	smPlasmid
979031836	m8v6,m9v4	R	NA	NaN	NaN	1925	smPlasmid
1735972239	m1v2,m2v4,m3v2,m4v4	F	NA	NaN	NaN	10000	lgPlasmid
980958934	m28v4,m29v1	F	NA	NaN	NaN	1925	smPlasmid
943054556	m2v2	F	NA	NaN	NaN	10201	lgPlasmid
948274216	m4v1,m5v4	F	NA	NaN	NaN	10201	lgPlasmid
944344154	m29v1	R	NA	NaN	NaN	10201	lgPlasmid
980282147	m22v3,m23v1	R	NA	NaN	NaN	1925	smPlasmid
942419735	m8v6	R	NA	NaN	NaN	10201	lgPlasmid
978794649	m27v4,m28v4,m29v2	F	NA	NaN	NaN	1925	smPlasmid
944251709	m3v2,m5v6	R	NA	NaN	NaN	10201	lgPlasmid
971753996	m34v3,m1v2	F	NA	NaN	NaN	10201	lgPlasmid
972512726	m26v7,m27v4	F	NA	NaN	NaN	1925	smPlasmid
953285919	m17v3,m18v2	F	NA	NaN	NaN	1925	smPlasmid
971542357	m27v4,m28v4	R	NA	NaN	NaN	10201	lgPlasmid
965651404	m30v2	F	NA	NaN	NaN	1925	smPlasmid
979434388	m7v4,m8v6	R	NA	NaN	NaN	1925	smPlasmid
949238195	m23v1,m24v7	R	NA	NaN	NaN	10201	lgPlasmid
949288192	m13v3,m14v3	F	NA	NaN	NaN	10201	lgPlasmid
946848977	m15v4	R	NA	NaN	NaN	1925	smPlasmid
972126339	m29v2	F	NA	NaN	NaN	1925	smPlasmid
948738799	m24v7,m641v1	R	NA	NaN	NaN	10201	lgPlasmid
972402502	m32v4	F	NA	NaN	NaN	1925	smPlasmid
978787857	m21v6,m22v3	R	NA	NaN	NaN	1925	smPlasmid
947031278	m4v4	R	NA	NaN	NaN	1925	smPlasmid
979842390	m15v7,m16v1	F	NA	NaN	NaN	1925	smPlasmid
941569627	m11v7	R	NA	NaN	NaN	10201	lgPlasmid
