HLleiLut1	NCBI	GCA_013400445.1	Leiothrix lutea
HLlepCor1	NCBI	GCA_001604755.1	Lepidothrix coronata
HLleuRot1	NCBI	GCA_013397325.1	Leucopsar rothschildi
HLlocOch1	NCBI	GCA_013400155.1	Locustella ochotensis
HLlonStr2	NCBI	GCA_005870125.1	Lonchura striata domestica
HLlopNyc1	NCBI	GCA_021292215.1	Lophura nycthemera
HLlopRuf1	NCBI	GCA_013396455.1	Lophotis ruficrista
HLlorGar1	NCBI	GCA_010014925.1	Lorius garrulus
HLloxCur1	NCBI	GCA_013398455.1	Loxia curvirostra
HLloxLeu1	NCBI	GCA_013396895.1	Loxia leucoptera
HLlycPyrObi1	NCBI	GCA_015343275.1	Lycocorax pyrrhopterus obiensis
HLlycPyrObi2	NCBI	GCA_014706295.1	Lycocorax pyrrhopterus obiensis
HLmacNig1	NCBI	GCA_013397975.1	Machaerirhynchus nigripectus
HLmanVit1	NCBI	GCA_001715985.3	Manacus vitellinus
HLmegAnt1	NCBI	GCA_010078485.1	Megadyptes antipodes antipodes
HLmelAur1	NCBI	GCA_011125475.1	Melanerpes aurifrons
HLmelGal6	NCBI	GCA_905368555.1	Meleagris gallopavo
HLmelUnd2	NCBI	GCA_012275295.1	Melopsittacus undulatus
HLmelVer1	NCBI	GCA_013397845.1	Melanocharis versteri
HLmerNub1	NCBI	GCA_009819595.1	Merops nubicus
HLmesCay1	NCBI	GCA_013399675.1	Mesembrinibis cayennensis
HLmioMac1	NCBI	GCA_013397495.1	Mionectes macconnelli
HLmixGul1	NCBI	GCA_003546035.1	Mixornis gularis
HLmohOch1	NCBI	GCA_013398855.1	Mohoua ochrocephala
HLmolAte1	NCBI	GCA_012460135.1	Molothrus ater
HLmonAda1	NCBI	GCA_017590115.1	Montifringilla adamsi
HLmotAlb1	NCBI	GCA_013397355.1	Motacilla alba
HLmotAlbAlb2	NCBI	GCA_015832195.1	Motacilla alba alba
HLmotTsc1	NCBI	GCA_018904545.1	Motacilla tschutschensis
HLmyiHeb1	NCBI	GCA_013397015.1	Myiagra hebetior
HLmyiMon1	NCBI	GCA_013036005.1	Myiopsitta monachus
HLmyiMon2	NCBI	GCA_017639245.1	Myiopsitta monachus
HLnanAur1	NCBI	GCA_002173455.1	Nannopterum auritus
HLnanHar1	NCBI	GCA_002173475.1	Nannopterum harrisi
HLneoChr1	NCBI	GCA_003984885.2	Neopelma chrysocephalum
HLneoCin1	NCBI	GCA_013397415.1	Neopipo cinnamomea
HLnesAcu1	NCBI	GCA_013398715.1	Nesospiza acunhae
HLnesNot1	NCBI	GCA_000696875.1	Nestor notabilis
HLnetAur1	NCBI	GCA_011076525.1	Nettapus auritus
HLnicChl1	NCBI	GCA_013400495.1	Nicator chloris
HLnisNip1	NCBI	GCA_012487455.1	Nisaetus nipalensis
HLnotCin1	NCBI	GCA_013398075.1	Notiomystis cincta
HLnotJul1	NCBI	GCA_013398735.1	Nothocercus julius
HLnotNig1	NCBI	GCA_013398345.1	Nothocercus nigrocapillus
HLnotOrn1	NCBI	GCA_013398335.1	Nothoprocta ornata
HLnotPen1	NCBI	GCA_013398315.1	Nothoprocta pentlandii
HLnotPer1	NCBI	GCA_003342845.1	Nothoprocta perdicaria
HLnumMel2	NCBI	GCA_014595935.1	Numida meleagris
HLnycBra1	NCBI	GCA_013396595.1	Nyctibius bracteatus
HLnycGra1	NCBI	GCA_013368605.1	Nyctibius grandis
HLnycLeu1	NCBI	GCA_013399395.1	Nyctiprogne leucopyga
HLnycSem1	NCBI	GCA_013400055.1	Nycticryphes semicollaris
HLoceOce1	NCBI	GCA_013396615.1	Oceanites oceanicus
HLodoGuj1	NCBI	GCA_013399175.1	Odontophorus gujanensis
HLoenOen1	NCBI	GCA_013399995.1	Oenanthe oenanthe
HLonyCor1	NCBI	GCA_013397825.1	Onychorhynchus coronatus
HLonyTac1	NCBI	GCF_017590055.1	Onychostruthus taczanowskii
HLoreArf1	NCBI	GCA_013398015.1	Oreocharis arfaki
HLoriOri1	NCBI	GCA_013400235.1	Oriolus oriolus
HLoriSol1	NCBI	GCA_013397895.1	Origma solitaria
HLortSpa1	NCBI	GCA_013397795.1	Orthonyx spaldingii
HLotuSun1	NCBI	GCA_010365825.1	Otus sunia
HLoxyCri1	NCBI	GCA_013399855.1	Oxyruncus cristatus
HLoxyJam1	NCBI	GCA_011077185.1	Oxyura jamaicensis
HLpacMin1	NCBI	GCA_013397135.1	Pachyramphus minor
HLpacPhi1	NCBI	GCA_013397055.1	Pachycephala philippinensis
HLparLaw1	NCBI	GCA_003713295.1	Parotia lawesii
HLparMaj1	NCBI	GCF_001522545.3	Parus major
HLparRag1	NCBI	GCA_003713265.1	Paradisaea raggiana
HLparRub1	NCBI	GCA_003713215.1	Paradisaea rubra
HLparWeb1	NCBI	GCA_013397395.1	Paradoxornis webbianus
HLpasAmo1	NCBI	GCA_013401095.1	Passerina amoena
