uni	Unknown	187,187,187
Unk	Unknown	187,187,187
Ureteric bud	Epithelial	17,119,51
Vascular and leptomeningeal cell	Mural	221,204,119
Vascular endothelial cell	Endothelial	136,204,238
Vascular leptomeningeal cell	Mural	221,204,119
Vascular smooth muscle	Mural	221,204,119
Vascular smooth muscle cell	Mural	221,204,119
Vein	Endothelial	136,204,238
Venous endothelial cell	Endothelial	136,204,238
Ventral striatum medium spiny neuron	Medium spiny neuron	230,159,0
Ventricular cardiomyocyte	Cardiomyocyte	170,68,0
Vip	Inhibitory neuron	213,94,0
Vip GABAergic interneuron	Inhibitory neuron	213,94,0
VLMC	Mural	221,204,119
VPIA1	Unknown	187,187,187
VPIA2	Unknown	187,187,187
VPIA3	Unknown	187,187,187
Zona fasciculata cortical	Epithelial	17,119,51
Zona glomerulosa cortical	Epithelial	17,119,51
