accession	label	cell_type	tissue	_source_name	_study	__sample	__bsrate	__meth	__depth	__mapping	__uniq	__sites	__hmr_size	__hmr_count	__pmd_size	__pmd_count
SRX4341979	Head	NA	head	Drone head	SRP152109	SRS3502577	0.999	0.007	9.421	0.770	0.765	0.930	78907.81	1802	25628.61	247
SRX4341980	Head	NA	head	Queen head	SRP152109	SRS3502578	0.999	0.006	10.631	0.793	0.783	0.934	83162.28	1715	15911.6	640
SRX4341981	Embryo	NA	embryo	Worker embryo	SRP152109	SRS3502579	0.999	0.008	27.472	0.784	0.783	0.970	75693.63	2077	4436.78	18
SRX4341982	Larva	NA	larva	Worker larva	SRP152109	SRS3502580	0.999	0.007	24.324	0.779	0.853	0.966	78685.81	1952	2374.36	11
SRX4341983	Pupa	NA	pupa	Worker pupa	SRP152109	SRS3502581	0.999	0.007	24.380	0.775	0.872	0.961	75973.64	2020	2329.97	35
SRX4341984	Head	NA	head	Worker head	SRP152109	SRS3502582	0.999	0.009	23.802	0.777	0.820	0.965	76241.1	2033	1074.1	10
SRX4341985	Larva	NA	larva	Drone Larva	SRP152109	SRS3502583	0.999	0.007	23.239	0.740	0.857	0.958	77315.96	1944	2176.82	28
SRX4341986	Head	NA	head	Drone head	SRP152109	SRS3502584	0.998	0.009	11.849	0.601	0.600	0.950	76539.12	1940	20830.06	16
SRX4341987	Head	NA	head	Queen head	SRP152109	SRS3502585	0.999	0.008	19.452	0.674	0.211	0.962	75027.09	2044	6638.45	88
SRX4635763	Semen	NA	Semen	NA	SRP159479	SRS3735696	0.966	0.014	11.778	0.771	0.603	0.893	89284.03	1034	345967.67	264
SRX4635764	Semen	NA	Semen	NA	SRP159479	SRS3735697	0.964	0.014	12.397	0.751	0.578	0.899	82671.76	1163	324259.81	309
SRX4635765	Semen	NA	Semen	NA	SRP159479	SRS3735698	0.964	0.014	11.057	0.740	0.602	0.885	90106.08	936	348195.96	261
SRX532641	Fat Body	NA	fat body	NA	SRP024289	SRS601590	0.995	0.008	29.441	0.592	0.515	0.949	78323.93	1900	29484.18	22
SRX5852906	Sperm	NA	sperm	Drone sperm	SRP152109	SRS4776814	0.988	0.014	16.968	0.233	0.688	0.967	81559.6	1823	213497.89	604
SRX6084380	Semen	NA	Semen	NA	SRP201695	SRS4986133	0.996	0.007	28.400	0.761	0.922	0.976	79258.46	1915	41958.41	54
SRX6084381	Egg	NA	Egg	NA	SRP201695	SRS4986135	0.997	0.006	23.686	0.832	0.895	0.971	76690.42	1979	28758.16	152
SRX6084382	Thorax	NA	Thorax	NA	SRP201695	SRS4986136	0.995	0.006	30.492	0.690	0.885	0.968	80558.45	1832	37983.82	85
SRX7285996	Brain	NA	NA	brain	SRP235124	SRS5779518	0.996	0.006	20.867	0.793	0.704	0.923	80550.53	1702	54205.15	48
SRX7495165	Brain Ovary And Thorax Of Each Newly Emerged Queen	NA	brain, ovary and thorax of each newly emerged queen	NA	SRP239353	SRS5936821	0.985	0.018	31.041	0.700	0.799	0.982	76968.5	2006	201980.2	649
SRX7495166	Brain Ovary And Thorax Of Each Newly Emerged Queen	NA	brain, ovary and thorax of each newly emerged queen	NA	SRP239353	SRS5936822	0.996	0.010	25.446	0.708	0.777	0.980	76177.07	2030	21581.07	14
SRX7495167	Brain Ovary And Thorax Of Each Newly Emerged Queen	NA	brain, ovary and thorax of each newly emerged queen	NA	SRP239353	SRS5936823	0.987	0.016	30.011	0.734	0.702	0.981	76368.18	2016	200420.97	659
SRX7495168	Brain Ovary And Thorax Of Each Newly Emerged Queen	NA	brain, ovary and thorax of each newly emerged queen	NA	SRP239353	SRS5936824	0.988	0.016	27.455	0.732	0.717	0.981	77741.33	1970	200108.03	657
SRX7495169	Brain Ovary And Thorax Of Each Newly Emerged Queen	NA	brain, ovary and thorax of each newly emerged queen	NA	SRP239353	SRS5936825	0.987	0.017	26.426	0.737	0.728	0.980	77024.33	1989	202853.07	642
SRX7495170	Brain Ovary And Thorax Of Each Newly Emerged Queen	NA	brain, ovary and thorax of each newly emerged queen	NA	SRP239353	SRS5936826	0.984	0.018	23.024	0.648	0.716	0.981	78240.79	1964	203439.34	642
SRX7495171	Brain Ovary And Thorax Of Each Newly Emerged Queen	NA	brain, ovary and thorax of each newly emerged queen	NA	SRP239353	SRS5936827	0.986	0.018	28.323	0.709	0.817	0.981	75741.09	2038	207390.87	624
SRX7495172	Brain Ovary And Thorax Of Each Newly Emerged Queen	NA	brain, ovary and thorax of each newly emerged queen	NA	SRP239353	SRS5936828	0.988	0.016	31.051	0.727	0.753	0.982	76272.51	2032	207462.91	621
SRX7495173	Brain Ovary And Thorax Of Each Newly Emerged Queen	NA	brain, ovary and thorax of each newly emerged queen	NA	SRP239353	SRS5936830	0.985	0.017	25.336	0.649	0.527	0.982	77955.65	1969	202473.4	650
SRX7495174	Brain Ovary And Thorax Of Each Newly Emerged Queen	NA	brain, ovary and thorax of each newly emerged queen	NA	SRP239353	SRS5936829	0.984	0.019	27.164	0.681	0.791	0.981	78140.17	1963	223661.14	554
SRX7495175	Brain Ovary And Thorax Of Each Newly Emerged Queen	NA	brain, ovary and thorax of each newly emerged queen	NA	SRP239353	SRS5936831	0.987	0.015	35.728	0.688	0.720	0.982	76848.46	2003	195980.72	683
SRX7495176	Brain Ovary And Thorax Of Each Newly Emerged Queen	NA	brain, ovary and thorax of each newly emerged queen	NA	SRP239353	SRS5936832	0.986	0.017	23.865	0.718	0.808	0.980	77485.35	1977	200455.91	658
SRX7495177	Brain Ovary And Thorax Of Each Newly Emerged Queen	NA	brain, ovary and thorax of each newly emerged queen	NA	SRP239353	SRS5936834	0.988	0.016	39.154	0.739	0.721	0.983	75513.72	2050	203824.81	637
SRX7495178	Brain Ovary And Thorax Of Each Newly Emerged Queen	NA	brain, ovary and thorax of each newly emerged queen	NA	SRP239353	SRS5936833	0.986	0.017	23.999	0.719	0.817	0.980	77519.9	1977	202820.69	647
SRX7495179	Brain Ovary And Thorax Of Each Newly Emerged Queen	NA	brain, ovary and thorax of each newly emerged queen	NA	SRP239353	SRS5936835	0.987	0.017	28.005	0.746	0.800	0.980	76479.8	2012	200902.8	655
SRX7495180	Brain Ovary And Thorax Of Each Newly Emerged Queen	NA	brain, ovary and thorax of each newly emerged queen	NA	SRP239353	SRS5936836	0.987	0.016	30.654	0.730	0.815	0.982	76724.57	2014	195721.89	686
SRX7495181	Brain Ovary And Thorax Of Each Newly Emerged Queen	NA	brain, ovary and thorax of each newly emerged queen	NA	SRP239353	SRS5936837	0.986	0.017	24.916	0.723	0.799	0.979	77438.78	1976	200482.64	658
SRX7495182	Brain Ovary And Thorax Of Each Newly Emerged Queen	NA	brain, ovary and thorax of each newly emerged queen	NA	SRP239353	SRS5936838	0.986	0.016	32.316	0.699	0.772	0.982	77201.57	1994	204893.64	633
SRX7495183	Brain Ovary And Thorax Of Each Newly Emerged Queen	NA	brain, ovary and thorax of each newly emerged queen	NA	SRP239353	SRS5936842	0.988	0.016	27.673	0.704	0.701	0.980	76718.47	2004	198816.15	665
SRX7495184	Brain Ovary And Thorax Of Each Newly Emerged Queen	NA	brain, ovary and thorax of each newly emerged queen	NA	SRP239353	SRS5936839	0.996	0.010	34.944	0.732	0.736	0.981	75554.3	2051	8672.61	44
SRX7495185	Brain Ovary And Thorax Of Each Newly Emerged Queen	NA	brain, ovary and thorax of each newly emerged queen	NA	SRP239353	SRS5936840	0.987	0.016	29.776	0.729	0.799	0.981	75933.93	2039	197830.68	675
SRX7495186	Brain Ovary And Thorax Of Each Newly Emerged Queen	NA	brain, ovary and thorax of each newly emerged queen	NA	SRP239353	SRS5936841	0.986	0.017	27.924	0.714	0.793	0.980	77625.36	1979	201667.75	653
SRX7495187	Brain Ovary And Thorax Of Each Newly Emerged Queen	NA	brain, ovary and thorax of each newly emerged queen	NA	SRP239353	SRS5936844	0.987	0.017	24.490	0.750	0.822	0.979	77591.11	1975	202257.15	649
SRX7495188	Brain Ovary And Thorax Of Each Newly Emerged Queen	NA	brain, ovary and thorax of each newly emerged queen	NA	SRP239353	SRS5936843	0.995	0.007	37.039	0.705	0.716	0.978	77250.3	1964	30708.54	39
SRX7495189	Brain Ovary And Thorax Of Each Newly Emerged Queen	NA	brain, ovary and thorax of each newly emerged queen	NA	SRP239353	SRS5936846	0.987	0.017	27.608	0.713	0.824	0.980	77020.77	1995	200917.23	655
SRX7495190	Brain Ovary And Thorax Of Each Newly Emerged Queen	NA	brain, ovary and thorax of each newly emerged queen	NA	SRP239353	SRS5936845	0.987	0.016	32.127	0.726	0.812	0.981	78328.86	1960	197644.59	674
SRX7495191	Brain Ovary And Thorax Of Each Newly Emerged Queen	NA	brain, ovary and thorax of each newly emerged queen	NA	SRP239353	SRS5936847	0.986	0.016	32.481	0.746	0.787	0.981	75904.54	2033	209425.66	608
SRX7495192	Brain Ovary And Thorax Of Each Newly Emerged Queen	NA	brain, ovary and thorax of each newly emerged queen	NA	SRP239353	SRS5936849	0.988	0.015	26.541	0.727	0.796	0.980	77009.04	1999	195855.62	684
SRX7495193	Brain Ovary And Thorax Of Each Newly Emerged Queen	NA	brain, ovary and thorax of each newly emerged queen	NA	SRP239353	SRS5936848	0.987	0.016	28.592	0.726	0.795	0.981	78043.04	1974	201286.81	651
SRX7495194	Brain Ovary And Thorax Of Each Newly Emerged Queen	NA	brain, ovary and thorax of each newly emerged queen	NA	SRP239353	SRS5936850	0.984	0.019	18.198	0.596	0.690	0.979	81599.69	1850	212080.9	603
SRX7495195	Brain Ovary And Thorax Of Each Newly Emerged Queen	NA	brain, ovary and thorax of each newly emerged queen	NA	SRP239353	SRS5936851	0.985	0.017	20.635	0.596	0.448	0.980	79144.79	1921	195760.26	689
SRX7495196	Brain Ovary And Thorax Of Each Newly Emerged Queen	NA	brain, ovary and thorax of each newly emerged queen	NA	SRP239353	SRS5936853	0.986	0.017	25.528	0.714	0.802	0.980	77846.65	1973	205611.53	633
SRX7495197	Brain Ovary And Thorax Of Each Newly Emerged Queen	NA	brain, ovary and thorax of each newly emerged queen	NA	SRP239353	SRS5936852	0.986	0.017	33.354	0.718	0.772	0.982	77233.06	2002	198622.47	668
SRX7495198	Brain Ovary And Thorax Of Each Newly Emerged Queen	NA	brain, ovary and thorax of each newly emerged queen	NA	SRP239353	SRS5936854	0.987	0.016	30.276	0.704	0.644	0.983	77549.43	1984	209798.7	607
SRX7495199	Brain Ovary And Thorax Of Each Newly Emerged Queen	NA	brain, ovary and thorax of each newly emerged queen	NA	SRP239353	SRS5936855	0.995	0.011	32.632	0.715	0.794	0.982	77133.86	2005	17571.48	103
SRX7495200	Brain Ovary And Thorax Of Each Newly Emerged Queen	NA	brain, ovary and thorax of each newly emerged queen	NA	SRP239353	SRS5936856	0.988	0.016	33.122	0.741	0.696	0.982	76202.59	2026	197764.26	671
SRX7495201	Brain Ovary And Thorax Of Each Newly Emerged Queen	NA	brain, ovary and thorax of each newly emerged queen	NA	SRP239353	SRS5936857	0.987	0.016	32.253	0.740	0.724	0.982	76508.83	2021	198724.55	666
SRX7495202	Brain Ovary And Thorax Of Each Newly Emerged Queen	NA	brain, ovary and thorax of each newly emerged queen	NA	SRP239353	SRS5936858	0.996	0.011	24.401	0.700	0.785	0.979	77057.66	1998	24873.57	7
SRX7495203	Brain Ovary And Thorax Of Each Newly Emerged Queen	NA	brain, ovary and thorax of each newly emerged queen	NA	SRP239353	SRS5936859	0.987	0.016	26.504	0.663	0.705	0.981	77992.53	1956	198945.49	667
SRX7570313	Brain Ovary And Thorax	NA	brain, ovary and thorax	NA	SRP242160	SRS6006039	0.986	0.016	28.427	0.709	0.815	0.982	79462.75	1929	216185.85	584
SRX7570314	Brain Ovary And Thorax	NA	brain, ovary and thorax	NA	SRP242160	SRS6006040	0.987	0.016	36.183	0.732	0.829	0.983	78491.87	1955	201027.84	658
SRX7570315	Brain And Thorax	NA	brain and thorax	NA	SRP242160	SRS6006041	0.983	0.018	20.906	0.583	0.597	0.975	81141.92	1833	218368.81	578
SRX7570316	Brain And Thorax	NA	brain and thorax	NA	SRP242160	SRS6006042	0.988	0.015	32.101	0.729	0.765	0.974	76463.86	1958	200394.43	657
SRX7570317	Brain And Thorax	NA	brain and thorax	NA	SRP242160	SRS6006043	0.984	0.017	21.677	0.588	0.394	0.975	77199.89	1948	216881.26	575
SRX7570318	Brain And Thorax	NA	brain and thorax	NA	SRP242160	SRS6006044	0.988	0.016	32.840	0.729	0.767	0.974	75193.85	2004	207100.93	616
SRX7570319	Brain And Thorax	NA	brain and thorax	NA	SRP242160	SRS6006045	0.987	0.016	29.045	0.724	0.722	0.974	78071.27	1904	203492.57	638
SRX7570320	Brain And Thorax	NA	brain and thorax	NA	SRP242160	SRS6006046	0.986	0.017	23.693	0.710	0.756	0.972	75641.95	1983	208757.51	621
SRX7570321	Brain And Thorax	NA	brain and thorax	NA	SRP242160	SRS6006047	0.994	0.011	24.066	0.680	0.766	0.973	76624.25	1953	20654.92	37
SRX7570322	Brain And Thorax	NA	brain and thorax	NA	SRP242160	SRS6006048	0.984	0.018	23.828	0.664	0.708	0.974	77603.22	1933	205762.44	631
SRX7570323	Brain And Thorax	NA	brain and thorax	NA	SRP242160	SRS6006049	0.985	0.017	27.400	0.686	0.731	0.975	77390.3	1944	205559.78	632
SRX7570324	Brain And Thorax	NA	brain and thorax	NA	SRP242160	SRS6006050	0.984	0.018	29.636	0.665	0.704	0.976	78673.85	1910	205891.81	632
SRX7570325	Brain Ovary And Thorax	NA	brain, ovary and thorax	NA	SRP242160	SRS6006051	0.985	0.017	30.625	0.732	0.811	0.981	78858.01	1936	207691.89	625
SRX7570326	Brain And Thorax	NA	brain and thorax	NA	SRP242160	SRS6006052	0.986	0.015	19.688	0.593	0.286	0.973	78864.22	1881	208620.0	623
SRX7570327	Brain And Thorax	NA	brain and thorax	NA	SRP242160	SRS6006053	0.987	0.016	27.453	0.703	0.739	0.975	78064.51	1916	204399.8	643
SRX7570328	Brain Ovary And Thorax	NA	brain, ovary and thorax	NA	SRP242160	SRS6006054	0.995	0.010	25.308	0.681	0.733	0.980	77205.13	1991	25194.07	60
SRX7570329	Brain Ovary And Thorax	NA	brain, ovary and thorax	NA	SRP242160	SRS6006055	0.984	0.018	24.343	0.596	0.571	0.982	78741.28	1940	209222.21	611
SRX7570330	Brain Ovary And Thorax	NA	brain, ovary and thorax	NA	SRP242160	SRS6006056	0.988	0.016	37.903	0.737	0.770	0.981	75060.25	2057	197717.17	671
SRX7570331	Brain Ovary And Thorax	NA	brain, ovary and thorax	NA	SRP242160	SRS6006057	0.987	0.017	28.852	0.734	0.699	0.981	76861.59	1998	191929.94	700
SRX7570332	Brain And Thorax	NA	brain and thorax	NA	SRP242160	SRS6006058	0.996	0.010	21.192	0.649	0.758	0.972	79344.16	1876	27621.36	14
SRX7570333	Brain And Thorax	NA	brain and thorax	NA	SRP242160	SRS6006059	0.986	0.017	23.620	0.701	0.766	0.973	77024.19	1950	209736.6	615
SRX7570334	Brain And Thorax	NA	brain and thorax	NA	SRP242160	SRS6006060	0.985	0.018	25.569	0.673	0.725	0.975	79680.69	1868	209773.09	619
SRX7784160	Fat Body	NA	Fat body	NA	SRP250391	SRS6200213	0.999	0.007	50.635	0.683	0.923	0.988	76705.6	2041	0.0	0
SRX7784161	Fat Body	NA	Fat body	NA	SRP250391	SRS6200214	0.999	0.007	52.244	0.681	0.923	0.988	75920.28	2063	0.0	0
