accession	label	cell_type	tissue	_source_name	_study	__sample	__bsrate	__meth	__depth	__mapping	__uniq	__sites	__hmr_size	__hmr_count	__pmd_size	__pmd_count
SRX12305100	Longissimus Dorsi	NA	longissimus dorsi	NA	SRP338337	SRS10278714	0.996	0.705	15.231	0.895	0.750	0.962	1828.27	50950	38148.32	2740
SRX12305101	Longissimus Dorsi	NA	longissimus dorsi	NA	SRP338337	SRS10278715	0.997	0.693	15.486	0.891	0.727	0.963	1799.34	51691	36999.77	2625
SRX12305102	Longissimus Dorsi	NA	longissimus dorsi	NA	SRP338337	SRS10278718	0.997	0.694	14.990	0.895	0.725	0.968	1770.28	50670	44788.47	2791
SRX12305103	Longissimus Dorsi	NA	longissimus dorsi	NA	SRP338337	SRS10278719	0.997	0.707	17.940	0.889	0.665	0.975	1621.21	58342	33387.6	2369
SRX12305104	Longissimus Dorsi	NA	longissimus dorsi	NA	SRP338337	SRS10278720	0.997	0.709	16.402	0.899	0.667	0.947	1850.21	51724	47376.48	2439
SRX12305105	Longissimus Dorsi	NA	longissimus dorsi	NA	SRP338337	SRS10278722	0.997	0.711	16.921	0.892	0.649	0.963	1736.73	53119	34253.07	2458
SRX12305106	Longissimus Dorsi	NA	longissimus dorsi	NA	SRP338337	SRS10278723	0.997	0.718	13.803	0.898	0.713	0.939	1862.2	50140	43677.31	2361
SRX12305107	Longissimus Dorsi	NA	longissimus dorsi	NA	SRP338337	SRS10278721	0.997	0.721	17.659	0.889	0.696	0.956	1758.09	54076	44577.18	2337
SRX12305108	Longissimus Dorsi	NA	longissimus dorsi	NA	SRP338337	SRS10278724	0.997	0.718	14.955	0.898	0.732	0.946	1799.77	52467	31867.52	2408
SRX12305109	Longissimus Dorsi	NA	longissimus dorsi	NA	SRP338337	SRS10278725	0.997	0.713	14.170	0.882	0.739	0.945	1827.18	50736	41594.65	2372
SRX12305110	Longissimus Dorsi	NA	longissimus dorsi	NA	SRP338337	SRS10278729	0.996	0.703	14.003	0.904	0.673	0.948	1952.46	48043	49844.31	2908
SRX12305111	Longissimus Dorsi	NA	longissimus dorsi	NA	SRP338337	SRS10278726	0.997	0.726	15.603	0.887	0.682	0.941	1786.32	49469	31094.18	2313
SRX12305112	Longissimus Dorsi	NA	longissimus dorsi	NA	SRP338337	SRS10278728	0.997	0.715	15.271	0.877	0.719	0.949	1763.64	51770	43625.5	2345
SRX12305113	Longissimus Dorsi	NA	longissimus dorsi	NA	SRP338337	SRS10278727	0.997	0.757	15.768	0.896	0.693	0.964	1522.7	53996	31667.23	2241
SRX12305114	Longissimus Dorsi	NA	longissimus dorsi	NA	SRP338337	SRS10278730	0.997	0.736	17.633	0.875	0.717	0.983	1295.61	65651	22924.33	2348
SRX12305115	Longissimus Dorsi	NA	longissimus dorsi	NA	SRP338337	SRS10278731	0.997	0.745	16.882	0.884	0.716	0.976	1391.36	60705	30573.6	2271
SRX12305116	Longissimus Dorsi	NA	longissimus dorsi	NA	SRP338337	SRS10278732	0.997	0.736	16.599	0.883	0.704	0.974	1480.23	55880	26655.62	2185
SRX12305117	Longissimus Dorsi	NA	longissimus dorsi	NA	SRP338337	SRS10278733	0.997	0.733	17.740	0.890	0.721	0.975	1487.02	58655	40372.84	2157
SRX12305118	Longissimus Dorsi	NA	longissimus dorsi	NA	SRP338337	SRS10278734	0.997	0.736	16.712	0.885	0.731	0.971	1543.47	55940	36199.32	2223
SRX12305119	Longissimus Dorsi	NA	longissimus dorsi	NA	SRP338337	SRS10278735	0.997	0.744	17.921	0.900	0.668	0.951	1712.2	51284	32175.3	2393
SRX12305120	Longissimus Dorsi	NA	longissimus dorsi	NA	SRP338337	SRS10278736	0.997	0.738	14.186	0.874	0.727	0.945	1614.63	47712	32764.67	2268
SRX12305121	Longissimus Dorsi	NA	longissimus dorsi	NA	SRP338337	SRS10278737	0.996	0.688	15.016	0.897	0.711	0.965	1867.59	53134	52657.17	2803
SRX12305122	Longissimus Dorsi	NA	longissimus dorsi	NA	SRP338337	SRS10278738	0.997	0.722	20.399	0.873	0.693	0.983	1462.94	60106	33575.0	2121
SRX12305123	Longissimus Dorsi	NA	longissimus dorsi	NA	SRP338337	SRS10278739	0.997	0.744	14.684	0.897	0.724	0.946	1722.37	48571	31019.86	2265
