wgEncodeCaltechRnaSeqC2c12C3hFR2x75Th131Il200E2p60hSigRep1	Caltech-m	2012-02-01	2012-04-18	2012-11-01	wgEncodeCaltechRnaSeq
wgEncodeCaltechRnaSeqC2c12C3hFR2x75Th131Il200FastqRd1Rep1	Caltech-m	2012-01-31	2012-04-18	2012-10-31	wgEncodeCaltechRnaSeq
wgEncodeCaltechRnaSeqC2c12C3hFR2x75Th131Il200FastqRd2Rep1	Caltech-m	2012-01-31	2012-04-18	2012-10-31	wgEncodeCaltechRnaSeq
wgEncodeCaltechRnaSeqC2c12C3hFR2x75Th131Il200RawRep1	Caltech-m	2012-04-16	2012-04-18	2013-01-16	wgEncodeCaltechRnaSeq
wgEncodeCaltechRnaSeqC2c12C3hFR2x75Th131Il200SigRep1	Caltech-m	2012-01-31	2012-04-17	2012-11-31	wgEncodeCaltechRnaSeq
wgEncodeCaltechTfbsC2c12CebpbFCntrl50bE2p60hPcr1xAlnRep1	Caltech-m	2011-08-11	n/a	2012-05-11	wgEncodeCaltechTfbs
wgEncodeCaltechTfbsC2c12CebpbFCntrl50bE2p60hPcr1xAlnRep2	Caltech-m	2011-08-11	n/a	2012-05-11	wgEncodeCaltechTfbs
wgEncodeCaltechTfbsC2c12CebpbFCntrl50bE2p60hPcr1xPkRep1	Caltech-m	2011-08-11	n/a	2012-05-11	wgEncodeCaltechTfbs
wgEncodeCaltechTfbsC2c12CebpbFCntrl50bE2p60hPcr1xPkRep2	Caltech-m	2011-08-11	n/a	2012-05-11	wgEncodeCaltechTfbs
wgEncodeCaltechTfbsC2c12CebpbFCntrl50bE2p60hPcr1xRawDataRep1	Caltech-m	2011-08-11	n/a	2012-05-11	wgEncodeCaltechTfbs
wgEncodeCaltechTfbsC2c12CebpbFCntrl50bE2p60hPcr1xRawDataRep2	Caltech-m	2011-08-11	n/a	2012-05-11	wgEncodeCaltechTfbs
wgEncodeCaltechTfbsC2c12CebpbFCntrl50bE2p60hPcr1xSigRep1	Caltech-m	2011-08-11	n/a	2012-05-11	wgEncodeCaltechTfbs
wgEncodeCaltechTfbsC2c12CebpbFCntrl50bE2p60hPcr1xSigRep2	Caltech-m	2011-08-11	n/a	2012-05-11	wgEncodeCaltechTfbs
wgEncodeCaltechTfbsC2c12CebpbFCntrl50bPcr1xAlnRep1	Caltech-m	2011-08-11	n/a	2012-05-11	wgEncodeCaltechTfbs
wgEncodeCaltechTfbsC2c12CebpbFCntrl50bPcr1xPkRep1	Caltech-m	2011-08-11	n/a	2012-05-11	wgEncodeCaltechTfbs
wgEncodeCaltechTfbsC2c12CebpbFCntrl50bPcr1xRawDataRep1	Caltech-m	2011-08-11	n/a	2012-05-11	wgEncodeCaltechTfbs
wgEncodeCaltechTfbsC2c12CebpbFCntrl50bPcr1xSigRep1	Caltech-m	2011-08-11	n/a	2012-05-11	wgEncodeCaltechTfbs
wgEncodeCaltechTfbsC2c12CtcfFCntrl32bPcr2xAlnRep1	Caltech-m	2011-08-05	n/a	2012-05-05	wgEncodeCaltechTfbs
wgEncodeCaltechTfbsC2c12CtcfFCntrl32bPcr2xPkRep1	Caltech-m	2011-08-05	n/a	2012-05-05	wgEncodeCaltechTfbs
wgEncodeCaltechTfbsC2c12CtcfFCntrl32bPcr2xRawDataRep1	Caltech-m	2011-08-05	n/a	2012-05-05	wgEncodeCaltechTfbs
wgEncodeCaltechTfbsC2c12CtcfFCntrl32bPcr2xSigRep1	Caltech-m	2011-08-05	n/a	2012-05-05	wgEncodeCaltechTfbs
