wgEncodeCaltechTfbsC2c12InputFCntrl50bE2p60hPcr1xSigRep1	Caltech-m	2011-08-11	n/a	2012-05-11
wgEncodeCaltechTfbsC2c12InputFCntrl50bE2p60hPcr1xSigRep2	Caltech-m	2011-08-11	n/a	2012-05-11
wgEncodeCaltechTfbsC2c12InputFCntrl50bPcr1xAlnRep1	Caltech-m	2011-08-05	n/a	2012-05-05
wgEncodeCaltechTfbsC2c12InputFCntrl50bPcr1xRawDataRep1	Caltech-m	2011-08-05	n/a	2012-05-05
wgEncodeCaltechTfbsC2c12InputFCntrl50bPcr1xRawDataRep2	Caltech-m	2011-09-01	n/a	2012-06-01
wgEncodeCaltechTfbsC2c12InputFCntrl50bPcr1xRawDataRep3	Caltech-m	2011-09-02	n/a	2012-06-01
wgEncodeCaltechTfbsC2c12InputFCntrl50bPcr1xSigRep1	Caltech-m	2011-08-05	n/a	2012-05-05
wgEncodeCaltechTfbsC2c12InputFCntrl50bPcr1xSigRep2	Caltech-m	2011-09-01	n/a	2012-06-01
wgEncodeCaltechTfbsC2c12InputFCntrl50bPcr1xSigRep3	Caltech-m	2011-09-02	n/a	2012-06-01
wgEncodeCaltechTfbsC2c12MaxFCntrl50bE2p60hPcr1xAlnRep1	Caltech-m	2011-08-05	n/a	2012-05-05
wgEncodeCaltechTfbsC2c12MaxFCntrl50bE2p60hPcr1xPkRep1	Caltech-m	2011-08-05	n/a	2012-05-05
wgEncodeCaltechTfbsC2c12MaxFCntrl50bE2p60hPcr1xRawDataRep1	Caltech-m	2011-08-05	n/a	2012-05-05
wgEncodeCaltechTfbsC2c12MaxFCntrl50bE2p60hPcr1xSigRep1	Caltech-m	2011-08-05	n/a	2012-05-05
wgEncodeCaltechTfbsC2c12MaxFCntrl50bPcr1xAlnRep1	Caltech-m	2011-08-05	n/a	2012-05-05
wgEncodeCaltechTfbsC2c12MaxFCntrl50bPcr1xPkRep1	Caltech-m	2011-08-05	n/a	2012-05-05
wgEncodeCaltechTfbsC2c12MaxFCntrl50bPcr1xRawDataRep1	Caltech-m	2011-08-05	n/a	2012-05-05
wgEncodeCaltechTfbsC2c12MaxFCntrl50bPcr1xSigRep1	Caltech-m	2011-08-05	n/a	2012-05-05
wgEncodeCaltechTfbsC2c12NrsfFCntrl32bE2p60hPcr2xAlnRep1	Caltech-m	2011-08-05	n/a	2012-05-05
wgEncodeCaltechTfbsC2c12NrsfFCntrl32bE2p60hPcr2xPkRep1	Caltech-m	2011-08-05	n/a	2012-05-05
wgEncodeCaltechTfbsC2c12NrsfFCntrl32bE2p60hPcr2xRawDataRep1	Caltech-m	2011-08-05	n/a	2012-05-05
wgEncodeCaltechTfbsC2c12NrsfFCntrl32bE2p60hPcr2xSigRep1	Caltech-m	2011-08-05	n/a	2012-05-05
wgEncodeCaltechTfbsC2c12Pol2FCntrl32bE2p60hPcr2xAlnRep1	Caltech-m	2011-08-05	n/a	2012-05-05
