wgEncodeAwgTfbsBroadHsmmtEzh239875UniPk	Broad	n/a	n/a	n/a
wgEncodeAwgTfbsBroadHuvecCtcfUniPk	Broad	n/a	n/a	n/a
wgEncodeAwgTfbsBroadHuvecEzh239875UniPk	Broad	n/a	n/a	n/a
wgEncodeAwgTfbsBroadHuvecPol2bUniPk	Broad	n/a	n/a	n/a
wgEncodeAwgTfbsBroadK562Chd1a301218aUniPk	Broad	n/a	n/a	n/a
wgEncodeAwgTfbsBroadK562CtcfUniPk	Broad	n/a	n/a	n/a
wgEncodeAwgTfbsBroadK562Ezh239875UniPk	Broad	n/a	n/a	n/a
wgEncodeAwgTfbsBroadK562Hdac1sc6298UniPk	Broad	n/a	n/a	n/a
wgEncodeAwgTfbsBroadK562Hdac2a300705aUniPk	Broad	n/a	n/a	n/a
wgEncodeAwgTfbsBroadK562Hdac6a301341aUniPk	Broad	n/a	n/a	n/a
wgEncodeAwgTfbsBroadK562P300UniPk	Broad	n/a	n/a	n/a
wgEncodeAwgTfbsBroadK562Phf8a301772aUniPk	Broad	n/a	n/a	n/a
wgEncodeAwgTfbsBroadK562Plu1UniPk	Broad	n/a	n/a	n/a
wgEncodeAwgTfbsBroadK562Pol2bUniPk	Broad	n/a	n/a	n/a
wgEncodeAwgTfbsBroadK562Rbbp5a300109aUniPk	Broad	n/a	n/a	n/a
wgEncodeAwgTfbsBroadK562Sap3039731UniPk	Broad	n/a	n/a	n/a
wgEncodeAwgTfbsBroadNhaCtcfUniPk	Broad	n/a	n/a	n/a
wgEncodeAwgTfbsBroadNhaEzh239875UniPk	Broad	n/a	n/a	n/a
wgEncodeAwgTfbsBroadNhdfadCtcfUniPk	Broad	n/a	n/a	n/a
wgEncodeAwgTfbsBroadNhdfadEzh239875UniPk	Broad	n/a	n/a	n/a
wgEncodeAwgTfbsBroadNhekCtcfUniPk	Broad	n/a	n/a	n/a
wgEncodeAwgTfbsBroadNhekEzh239875UniPk	Broad	n/a	n/a	n/a
wgEncodeAwgTfbsBroadNhekPol2bUniPk	Broad	n/a	n/a	n/a
wgEncodeAwgTfbsBroadNhlfCtcfUniPk	Broad	n/a	n/a	n/a
wgEncodeAwgTfbsBroadNhlfEzh239875UniPk	Broad	n/a	n/a	n/a
wgEncodeAwgTfbsBroadOsteoblCtcfUniPk	Broad	n/a	n/a	n/a
wgEncodeAwgTfbsHaibA549Atf3V0422111Etoh02UniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibA549Bcl3V0422111Etoh02UniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibA549Creb1sc240V0416102Dex100nmUniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibA549Ctcfsc5916Pcr1xDex100nmUniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibA549Ctcfsc5916Pcr1xEtoh02UniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibA549Elf1V0422111Etoh02UniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibA549Ets1V0422111Etoh02UniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibA549Fosl2V0422111Etoh02UniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibA549Foxa1V0416102Dex100nmUniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibA549GabpV0422111Etoh02UniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibA549GrPcr1xDex500pmUniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibA549GrPcr1xDex50nmUniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibA549GrPcr1xDex5nmUniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibA549GrPcr2xDex100nmUniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibA549NrsfV0422111Etoh02UniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibA549P300V0422111Etoh02UniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibA549Pol2Pcr2xDex100nmUniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibA549Pol2Pcr2xEtoh02UniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibA549Sin3ak20V0422111Etoh02UniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibA549Six5V0422111Etoh02UniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibA549Taf1V0422111Etoh02UniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibA549Tcf12V0422111Etoh02UniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibA549Usf1Pcr1xDex100nmUniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibA549Usf1Pcr1xEtoh02UniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibA549Usf1V0422111Etoh02UniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibA549Yy1cV0422111Etoh02UniPk	HudsonAlpha	n/a	n/a	n/a
