#metaObject	lab	dateSubmitted	dateResubmitted	dateUnrestricted	composite
wgEncodeSydhTfbsHepg2Znf274UcdPk	USC	2010-05-10	n/a	2011-02-10	wgEncodeSydhTfbs
wgEncodeSydhTfbsHepg2Znf274UcdRawDataRep1	USC	2010-05-10	n/a	2011-02-10	wgEncodeSydhTfbs
wgEncodeSydhTfbsHepg2Znf274UcdRawDataRep2	USC	2010-05-10	n/a	2011-02-10	wgEncodeSydhTfbs
wgEncodeSydhTfbsHepg2Znf274UcdSig	USC	2010-12-06	n/a	2011-09-06	wgEncodeSydhTfbs
wgEncodeSydhTfbsHuvecCfosUcdAlnRep1	USC	2011-01-13	n/a	2011-10-13	wgEncodeSydhTfbs
wgEncodeSydhTfbsHuvecCfosUcdAlnRep2	USC	2011-01-13	n/a	2011-10-13	wgEncodeSydhTfbs
wgEncodeSydhTfbsHuvecCfosUcdPk	USC	2011-01-13	n/a	2011-10-13	wgEncodeSydhTfbs
wgEncodeSydhTfbsHuvecCfosUcdRawDataRep1	USC	2011-01-13	n/a	2011-10-13	wgEncodeSydhTfbs
wgEncodeSydhTfbsHuvecCfosUcdRawDataRep2	USC	2011-01-13	n/a	2011-10-13	wgEncodeSydhTfbs
wgEncodeSydhTfbsHuvecCfosUcdSig	USC	2011-01-13	n/a	2011-10-13	wgEncodeSydhTfbs
wgEncodeSydhTfbsHuvecCjunRawDataRep1	Stanford	2010-01-12	n/a	2010-10-11	wgEncodeSydhTfbs
wgEncodeSydhTfbsHuvecCjunRawDataRep2	Stanford	2010-01-12	n/a	2010-10-11	wgEncodeSydhTfbs
wgEncodeSydhTfbsHuvecCjunStdAlnRep1	Stanford	2010-01-12	2010-06-11	2010-10-11	wgEncodeSydhTfbs
wgEncodeSydhTfbsHuvecCjunStdAlnRep2	Stanford	2010-01-12	2010-06-11	2010-10-11	wgEncodeSydhTfbs
wgEncodeSydhTfbsHuvecCjunStdPk	Stanford	2011-06-03	n/a	2012-03-03	wgEncodeSydhTfbs
wgEncodeSydhTfbsHuvecCjunStdSig	Stanford	2010-12-02	n/a	2011-09-01	wgEncodeSydhTfbs
wgEncodeSydhTfbsHuvecGata2UcdAlnRep1	USC	2010-05-20	n/a	2011-02-20	wgEncodeSydhTfbs
wgEncodeSydhTfbsHuvecGata2UcdAlnRep1V2	Stanford	2012-06-25	n/a	2013-03-25	wgEncodeSydhTfbs
wgEncodeSydhTfbsHuvecGata2UcdAlnRep2	USC	2010-05-20	n/a	2011-02-20	wgEncodeSydhTfbs
wgEncodeSydhTfbsHuvecGata2UcdAlnRep2V2	Stanford	2012-06-25	n/a	2013-03-25	wgEncodeSydhTfbs
wgEncodeSydhTfbsHuvecGata2UcdPk	USC	2010-05-20	n/a	2011-02-20	wgEncodeSydhTfbs
wgEncodeSydhTfbsHuvecGata2UcdRawDataRep1	USC	2010-05-20	n/a	2011-02-20	wgEncodeSydhTfbs
wgEncodeSydhTfbsHuvecGata2UcdRawDataRep2	USC	2010-05-20	n/a	2011-02-20	wgEncodeSydhTfbs
wgEncodeSydhTfbsHuvecGata2UcdSig	USC	2010-12-06	n/a	2011-09-06	wgEncodeSydhTfbs
wgEncodeSydhTfbsHuvecInputStdAlnRep1	Yale	2010-03-08	2010-06-11	2010-12-08	wgEncodeSydhTfbs
wgEncodeSydhTfbsHuvecInputStdAlnRep2	Yale	2010-03-08	2010-06-11	2010-12-08	wgEncodeSydhTfbs
wgEncodeSydhTfbsHuvecInputStdRawDataRep1	Yale	2010-03-08	n/a	2010-12-08	wgEncodeSydhTfbs
wgEncodeSydhTfbsHuvecInputStdRawDataRep2	Yale	2010-03-08	n/a	2010-12-08	wgEncodeSydhTfbs
wgEncodeSydhTfbsHuvecInputStdSig	Yale	2010-12-02	n/a	2011-09-01	wgEncodeSydhTfbs
wgEncodeSydhTfbsHuvecInputUcdAlnRep1	USC	2010-12-06	2011-06-14	2011-09-06	wgEncodeSydhTfbs
wgEncodeSydhTfbsHuvecInputUcdRawData	USC	2010-05-20	n/a	2011-02-20	wgEncodeSydhTfbs
wgEncodeSydhTfbsHuvecInputUcdSig	USC	2010-12-06	n/a	2011-09-06	wgEncodeSydhTfbs
wgEncodeSydhTfbsHuvecMaxRawDataRep1	Stanford	2010-01-16	n/a	2010-10-15	wgEncodeSydhTfbs
wgEncodeSydhTfbsHuvecMaxRawDataRep2	Stanford	2010-01-16	n/a	2010-10-15	wgEncodeSydhTfbs
wgEncodeSydhTfbsHuvecMaxStdAlnRep1	Stanford	2010-01-16	2010-06-11	2010-10-15	wgEncodeSydhTfbs
wgEncodeSydhTfbsHuvecMaxStdAlnRep2	Stanford	2010-01-16	2010-06-11	2010-10-15	wgEncodeSydhTfbs
wgEncodeSydhTfbsHuvecMaxStdPk	Stanford	2011-06-03	n/a	2012-03-03	wgEncodeSydhTfbs
wgEncodeSydhTfbsHuvecMaxStdSig	Stanford	2010-12-02	n/a	2011-09-01	wgEncodeSydhTfbs
wgEncodeSydhTfbsHuvecPol2RawDataRep1	Stanford	2010-01-09	n/a	2010-10-08	wgEncodeSydhTfbs
wgEncodeSydhTfbsHuvecPol2RawDataRep2	Stanford	2010-01-09	n/a	2010-10-08	wgEncodeSydhTfbs
wgEncodeSydhTfbsHuvecPol2RawDataRep3	Stanford	2010-01-09	n/a	2010-10-08	wgEncodeSydhTfbs
wgEncodeSydhTfbsHuvecPol2StdAlnRep1	Stanford	2010-01-09	2010-06-11	2010-10-08	wgEncodeSydhTfbs
wgEncodeSydhTfbsHuvecPol2StdAlnRep2	Stanford	2010-01-09	2010-06-11	2010-10-08	wgEncodeSydhTfbs
wgEncodeSydhTfbsHuvecPol2StdAlnRep3	Stanford	2010-01-09	2010-06-11	2010-10-08	wgEncodeSydhTfbs
wgEncodeSydhTfbsHuvecPol2StdPk	Stanford	2011-06-03	n/a	2012-03-03	wgEncodeSydhTfbs
wgEncodeSydhTfbsHuvecPol2StdSig	Stanford	2010-12-02	n/a	2011-09-01	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90CebpbIggrabAlnRep1	Stanford	2011-12-18	n/a	2012-09-18	wgEncodeSydhTfbs
