SRR1071157 GTEX-OXRN-0126-SM-48TDM	male	Skin - Sun Exposed (Lower leg)
SRR1071181 GTEX-WH7G-1626-SM-4LVMY	male	Small Intestine - Terminal Ileum
SRR1071207 GTEX-RU72-0726-SM-46MUW	female	Esophagus - Mucosa
SRR1071231 GTEX-XUJ4-2626-SM-4BOQ3	female	Muscle - Skeletal
SRR1071289 GTEX-X4XY-0011-R8A-SM-46MVC	male	Brain - Hypothalamus
SRR1071313 GTEX-VUSG-0626-SM-4KL1Z	male	Artery - Coronary
SRR1071337 GTEX-RWSA-0008-SM-47JYX	male	Cells - Transformed fibroblasts
SRR1071359 GTEX-U3ZN-1126-SM-4DXUL	female	Fallopian Tube
SRR1071379 GTEX-SIU7-1526-SM-4BRWQ	male	Testis
SRR1071403 GTEX-WH7G-0002-SM-4LVN9	male	Cells - EBV-transformed lymphocytes
SRR1071429 GTEX-T6MN-2026-SM-4DM7L	male	Testis
SRR1071453 GTEX-XUYS-0226-SM-47JX1	male	Adipose - Subcutaneous
SRR1071475 GTEX-T6MO-1126-SM-4DM5D	female	Ovary
SRR1071499 GTEX-TKQ1-0326-SM-4DXSM	male	Esophagus - Mucosa
SRR1071519 GTEX-Q2AH-0926-SM-48TZK	male	Pancreas
SRR1071543 GTEX-XOTO-0426-SM-4B66A	male	Artery - Tibial
SRR1071568 GTEX-TML8-0326-SM-4GICN	female	Lung
SRR1071594 GTEX-XUW1-0826-SM-4BOP6	female	Muscle - Skeletal
SRR1071620 GTEX-VUSG-0008-SM-4KL24	male	Cells - Transformed fibroblasts
SRR1071644 GTEX-V955-0926-SM-4JBJ8	male	Artery - Aorta
SRR1071668 GTEX-R53T-0326-SM-48FEC	female	Liver
SRR1071692 GTEX-XPT6-0126-SM-4B65S	male	Heart - Left Ventricle
SRR1071717 GTEX-U3ZM-0826-SM-4DXU6	male	Bladder
SRR1071737 GTEX-PWN1-2026-SM-48TD9	female	Uterus
SRR1071761 GTEX-S4UY-1626-SM-4AD55	female	Stomach
SRR1071785 GTEX-X638-0126-SM-47JZ8	female	Skin - Sun Exposed (Lower leg)
SRR1071807 GTEX-T5JC-1526-SM-4DM68	male	Kidney - Cortex
SRR1071832 GTEX-QDT8-2526-SM-48TYX	female	Vagina
SRR1071856 GTEX-Q2AH-0626-SM-48TZJ	male	Artery - Coronary
SRR1071880 GTEX-X261-0011-R8A-SM-4E3I5	male	Brain - Hypothalamus
SRR1071905 GTEX-XQ3S-1326-SM-4BOPQ	male	Breast - Mammary Tissue
SRR1071931 GTEX-X4XY-0006-SM-46MV2	male	Whole Blood
SRR1071955 GTEX-XQ3S-0426-SM-4BOOA	male	Muscle - Skeletal
SRR1071983 GTEX-PW2O-0008-SM-48TEB	male	Cells - Transformed fibroblasts
SRR1072007 GTEX-QLQW-0326-SM-447A8	male	Pancreas
SRR1072031 GTEX-W5WG-2226-SM-4LMI3	female	Artery - Tibial
SRR1072055 GTEX-UPK5-1226-SM-4IHL8	male	Esophagus - Mucosa
SRR1072078 GTEX-XUW1-1126-SM-4BONZ	female	Artery - Aorta
SRR1072104 GTEX-XMK1-0326-SM-4B652	male	Pancreas
SRR1072129 GTEX-S7SF-1426-SM-4AT5A	female	Vagina
SRR1072150 GTEX-XQ8I-1126-SM-4BOO2	male	Lung
SRR1072178 GTEX-XMD1-0011-R5A-SM-4AT47	male	Brain - Caudate (basal ganglia)
SRR1072199 GTEX-W5WG-1726-SM-4LMI5	female	Stomach
SRR1072223 GTEX-PSDG-0008-SM-48TE5	male	Cells - Transformed fibroblasts
