GCA_042030225.1_HG02273_hap2_hprc_f2	human (HG02273 hap2 2024)
GCA_042026465.1_HG02280_mat_hprc_f2	human (HG02280 mat 2024)
GCA_042027485.1_HG02280_pat_hprc_f2	human (HG02280 pat 2024)
GCA_042026455.1_HG02293_mat_hprc_f2	human (HG02293 mat 2024)
GCA_042027495.1_HG02293_pat_hprc_f2	human (HG02293 pat 2024)
GCA_042027635.1_HG02300_mat_hprc_f2	human (HG02300 mat 2024)
GCA_042028475.1_HG02300_pat_hprc_f2	human (HG02300 pat 2024)
GCA_042034315.1_HG02391_hap1_hprc_f2	human (HG02391 hap1 2024)
GCA_042034155.1_HG02391_hap2_hprc_f2	human (HG02391 hap2 2024)
GCA_046043155.1_HG02392_hap1_hprc_f2	human (HG02392 hap1 2024)
GCA_046043145.1_HG02392_hap2_hprc_f2	human (HG02392 hap2 2024)
GCA_042026475.1_HG02451_mat_hprc_f2	human (HG02451 mat 2024)
GCA_042027135.1_HG02451_pat_hprc_f2	human (HG02451 pat 2024)
GCA_018467015.2_HG02486_mat_hprc_f2	human (HG02486 mat 2024)
GCA_018467005.2_HG02486_pat_hprc_f2	human (HG02486 pat 2024)
GCA_045524175.1_HG02514_mat_hprc_f2	human (HG02514 mat 2024)
GCA_045523115.1_HG02514_pat_hprc_f2	human (HG02514 pat 2024)
GCA_042029905.1_HG02523_mat_hprc_f2	human (HG02523 mat 2024)
GCA_042030115.1_HG02523_pat_hprc_f2	human (HG02523 pat 2024)
GCA_018466985.2_HG02559_mat_hprc_f2	human (HG02559 mat 2024)
GCA_018466855.2_HG02559_pat_hprc_f2	human (HG02559 pat 2024)
GCA_018470445.2_HG02572_mat_hprc_f2	human (HG02572 mat 2024)
GCA_018470435.2_HG02572_pat_hprc_f2	human (HG02572 pat 2024)
GCA_042076985.1_HG02583_hap1_hprc_f2	human (HG02583 hap1 2024)
GCA_042076715.1_HG02583_hap2_hprc_f2	human (HG02583 hap2 2024)
GCA_046000055.1_HG02602_mat_hprc_f2	human (HG02602 mat 2024)
GCA_046000095.1_HG02602_pat_hprc_f2	human (HG02602 pat 2024)
GCA_042028975.1_HG02615_mat_hprc_f2	human (HG02615 mat 2024)
GCA_042029935.1_HG02615_pat_hprc_f2	human (HG02615 pat 2024)
GCA_018469875.2_HG02622_mat_hprc_f2	human (HG02622 mat 2024)
GCA_018469925.2_HG02622_pat_hprc_f2	human (HG02622 pat 2024)
GCA_018469955.2_HG02630_mat_hprc_f2	human (HG02630 mat 2024)
GCA_018469945.2_HG02630_pat_hprc_f2	human (HG02630 pat 2024)
GCA_042028065.1_HG02647_mat_hprc_f2	human (HG02647 mat 2024)
GCA_042028775.1_HG02647_pat_hprc_f2	human (HG02647 pat 2024)
GCA_042038585.1_HG02668_mat_hprc_f2	human (HG02668 mat 2024)
GCA_042038895.1_HG02668_pat_hprc_f2	human (HG02668 pat 2024)
GCA_042029495.1_HG02698_mat_hprc_f2	human (HG02698 mat 2024)
GCA_042030045.1_HG02698_pat_hprc_f2	human (HG02698 pat 2024)
GCA_018469935.2_HG02717_mat_hprc_f2	human (HG02717 mat 2024)
GCA_018470425.2_HG02717_pat_hprc_f2	human (HG02717 pat 2024)
GCA_018504065.2_HG02723_mat_hprc_f2	human (HG02723 mat 2024)
GCA_018504075.2_HG02723_pat_hprc_f2	human (HG02723 pat 2024)
GCA_042076555.1_HG02735_mat_hprc_f2	human (HG02735 mat 2024)
GCA_042076445.1_HG02735_pat_hprc_f2	human (HG02735 pat 2024)
GCA_046056425.1_HG02738_mat_hprc_f2	human (HG02738 mat 2024)
GCA_046056435.1_HG02738_pat_hprc_f2	human (HG02738 pat 2024)
GCA_042036255.1_HG02809_mat_hprc_f2	human (HG02809 mat 2024)
GCA_042036525.1_HG02809_pat_hprc_f2	human (HG02809 pat 2024)
GCA_018503585.2_HG02818_mat_hprc_f2	human (HG02818 mat 2024)
GCA_018503575.2_HG02818_pat_hprc_f2	human (HG02818 pat 2024)
GCA_045524615.1_HG02841_mat_hprc_f2	human (HG02841 mat 2024)
GCA_045523135.1_HG02841_pat_hprc_f2	human (HG02841 pat 2024)
GCA_018470455.2_HG02886_mat_hprc_f2	human (HG02886 mat 2024)
GCA_018470465.2_HG02886_pat_hprc_f2	human (HG02886 pat 2024)
GCA_042031165.1_HG02922_hap1_hprc_f2	human (HG02922 hap1 2024)
GCA_042030255.1_HG02922_hap2_hprc_f2	human (HG02922 hap2 2024)
GCA_042032535.1_HG02965_hap1_hprc_f2	human (HG02965 hap1 2024)
GCA_042031845.1_HG02965_hap2_hprc_f2	human (HG02965 hap2 2024)
GCA_042031255.1_HG02976_hap1_hprc_f2	human (HG02976 hap1 2024)
