accession	label	cell_type	tissue	_source_name	_study	__sample	__bsrate	__meth	__depth	__mapping	__uniq	__sites	__hmr_size	__hmr_count	__pmd_size	__pmd_count
SRX5256053	Blood	NA	blood	NA	SRP179788	SRS4257560	0.999	0.723	9.709	0.719	0.423	0.954	1171.33	38445	9095.54	2165
SRX5256864	Blood	NA	blood	NA	SRP179788	SRS4258146	0.999	0.729	13.188	0.730	0.475	0.964	1064.14	44783	8915.0	2082
SRX5257519	Blood	NA	blood	NA	SRP179788	SRS4258661	0.999	0.738	16.736	0.758	0.676	0.981	984.14	44952	8540.75	2359
SRX5260200	Blood	NA	blood	NA	SRP179788	SRS4261248	0.999	0.743	15.168	0.753	0.596	0.979	996.74	45408	7890.91	2601
SRX5622900	Lung	NA	Lung	NA	SRP190079	SRS4568335	0.987	0.635	9.997	0.492	0.781	0.930	1372.23	33882	12669.73	1878
SRX5622901	Lung	NA	Lung	NA	SRP190079	SRS4568336	0.985	0.547	6.162	0.369	0.794	0.774	1208.38	30373	22715.11	954
SRX5622902	Muscle	NA	Muscle	NA	SRP190079	SRS4568337	0.994	0.726	12.254	0.864	0.755	0.935	1468.92	39307	28129.58	3220
SRX5622903	Muscle	NA	Muscle	NA	SRP190079	SRS4568338	0.990	0.647	11.652	0.543	0.766	0.954	1268.67	35447	17505.88	2290
SRX5622904	Muscle	NA	Muscle	NA	SRP190079	SRS4568339	0.992	0.659	13.438	0.634	0.780	0.966	1293.71	41676	24761.85	2864
SRX5622912	Lung	NA	Lung	NA	SRP190079	SRS4568347	0.994	0.728	12.194	0.820	0.642	0.953	1336.74	36027	18845.07	2586
SRX5622913	Breast	NA	Breast	NA	SRP190079	SRS4568348	0.991	0.701	9.628	0.729	0.609	0.919	1438.99	33349	14522.88	2145
SRX5622914	Muscle	NA	Muscle	NA	SRP190079	SRS4568349	0.992	0.697	11.595	0.859	0.593	0.939	1658.09	40502	47637.97	3026
SRX5622915	Lung	NA	Lung	NA	SRP190079	SRS4568350	0.993	0.708	11.124	0.831	0.630	0.933	1478.85	32739	16128.92	2481
SRX5622916	Muscle	NA	Muscle	NA	SRP190079	SRS4568351	0.993	0.715	10.863	0.868	0.581	0.929	1534.82	39078	27782.11	2598
SRX5622917	Muscle	NA	Muscle	NA	SRP190079	SRS4568352	0.993	0.714	10.483	0.847	0.603	0.923	1567.5	37048	28135.25	2437
SRX5622918	Breast	NA	Breast	NA	SRP190079	SRS4568353	0.992	0.686	11.591	0.746	0.771	0.959	1400.54	37722	43886.27	3474
SRX5622919	Breast	NA	Breast	NA	SRP190079	SRS4568354	0.990	0.695	9.323	0.729	0.762	0.953	1379.89	40058	15888.88	2302
SRX5622920	Lung	NA	Lung	NA	SRP190079	SRS4568355	0.993	0.711	12.708	0.809	0.766	0.937	1417.98	34147	15960.38	2665
SRX5622921	Breast	NA	Breast	NA	SRP190079	SRS4568356	0.990	0.687	13.200	0.670	0.771	0.976	1227.85	37412	20771.62	2503
SRX5622922	Breast	NA	Breast	NA	SRP190079	SRS4568357	0.992	0.704	10.102	0.788	0.616	0.930	1503.82	35740	21309.62	2397
SRX5622923	Muscle	NA	Muscle	NA	SRP190079	SRS4568358	0.993	0.707	15.174	0.778	0.714	0.977	1280.87	49866	35193.04	3586
SRX5622924	Breast	NA	Breast	NA	SRP190079	SRS4568359	0.994	0.734	15.477	0.830	0.695	0.976	1325.86	55155	23974.06	3245
SRX5622925	Breast	NA	Breast	NA	SRP190079	SRS4568360	0.994	0.743	14.477	0.820	0.676	0.968	1253.25	44976	17422.5	3058
SRX5622926	Lung	NA	Lung	NA	SRP190079	SRS4568361	0.994	0.728	14.197	0.797	0.690	0.968	1282.76	38464	18723.38	2921
SRX5622927	Breast	NA	Breast	NA	SRP190079	SRS4568362	0.994	0.718	15.796	0.843	0.655	0.982	1297.33	50214	26312.63	3468
