GCA_003342835.1_rhePen1	lesser rhea (206185 2018)
GCF_000687185.1_ASM68718v1	little egret
GCA_023637925.1_DD_ASM_B1a	long-tailed hermit (PSU5 alternate hap 2022)
GCA_023637945.1_DD_ASM_B1	long-tailed hermit (PSU5 primary hap 2022)
GCF_000695195.1_ASM69519v1	Macqueen's bustard
GCA_017639665.1_bCicMag1.alt	maguari stork (bCicMag1 alternate hap 2021)
GCA_017639555.1_bCicMag1.pri	maguari stork (bCicMag1 primary hap 2021)
GCA_008746955.1_CAU_Wild1.0	mallard CAU_Wild1.0
GCF_003850225.1_IASCAAS_PekingDuck_PBH1.5	mallard PBH1.5
GCF_015476345.1_ZJU1.0	mallard ZJU1.0
GCF_017639235.1_C.kubaryi_AGA036_p1.0	Mariana crow
GCA_963210275.1_bFalPun1.1_alternate_haplotype	Mauritius kestrel (alternate hap 2023)
GCA_963210335.1_bFalPun1.1	Mauritius kestrel (primary hap 2023)
GCA_963243765.1_bPsiEch3.1_alternate_haplotype	Mauritius parakeet (alternate hap 2023)
GCA_963264785.1_bPsiEch3.1	Mauritius parakeet (primary hap 2023)
GCF_000277835.1_GeoFor_1.0	medium ground-finch
GCA_017639245.1_MMon_1.0	monk parakeet
GCA_009769485.2_bCygOlo1.alt.v2	mute swan (bCygOlo1 v2 alternate hap 2021)
GCF_009769625.2_bCygOlo1.pri.v2	mute swan (bCygOlo1 v2 primary hap 2021)
GCA_027579665.1_bAmmNel1.alt	Nelson's sparrow (bAmmNel1 alternate hap 2023)
GCF_027579445.1_bAmmNel1.pri	Nelson's sparrow (bAmmNel1 primary hap 2023 refseq)
GCF_009650955.1_bCorMon1.pri	New Caledonian crow (2019)
GCA_009651025.1_bCorMon1.alt	New Caledonian crow (alternate hap 2019)
GCA_008692595.2_Cv_LA_2.0	northern bobwhite
GCF_000690835.1_ASM69083v1	northern fulmar
GCA_031468805.1_bMorBas2.hap1	northern gannet (hap1 2023)
GCA_031468815.1_bMorBas2.hap2	northern gannet (hap2 2023)
GCA_929447715.1_bAccGen1.1_alternate_haplotype	northern goshawk (bAccGen1 v1 alternate hap 2022)
GCA_929443795.2_bAccGen1.2	northern goshawk (bAccGen1 primary hap v2 2022 genbank)
GCF_929443795.1_bAccGen1.1	northern goshawk (bAccGen1 primary hap v1 2022 refseq)
GCA_014706295.1_ASM1470629v1	Obi paradise-crow (lycPyr6 2020)
GCF_003343035.1_aptRow1	Okarito brown kiwi
GCA_023634185.1_bFalPer1.alt	peregrine falcon (bFalPer1 alternate hap 2022)
GCF_023634155.1_bFalPer1.pri	peregrine falcon (bFalPer1 primary hap 2022 refseq)
GCF_000337955.1_F_peregrinus_v1.0	peregrine falcon (BGI 2013)
GCF_024509145.1_ASM2450914v1	pin-tailed whydah (BioBank_ID:100142 2022)
GCA_963082445.1_bNesMay2.1_alternate_haplotype	pink pigeon (alternate hap 2023)
GCA_963082525.1_bNesMay2.1	pink pigeon (primary hap 2023)
GCA_020745805.1_bTheCae1.alt.cur	plumbeous ibis (bTheCae1 alternate hap 2021)
GCA_020745775.1_bTheCae1.pri.cur	plumbeous ibis (bTheCae1 primary hap 2021)
GCA_000332375.2_ASM33237v2	Puerto Rican parrot (LU 182127 2020)
GCA_008658365.1_bAlcTor1_primary	razorbill (2006_11_07_Graehlm_vinge_78 2019)
GCA_008658355.1_bAlcTor1_alternate	razorbill (alternate hap 2006_11_07_Graehlm_vinge_78 2019)
GCF_030028575.1_MMel_1.1	red-backed fairy wren (Western Australia 2023)
GCA_009769465.1_bTauEry1.pri	red-crested turaco (2019)
GCA_009764505.1_bTauEry1.alt	red-crested turaco (alternate hap 2019)
GCA_015220175.1_bPogPus1.alt	red-fronted tinkerbird (bPogPus1 alternate hap 2020)
GCA_015220805.1_bPogPus1.pri	red-fronted tinkerbird (bPogPus1 primary hap 2020)
GCA_019345075.1_ASM1934507v1	red-legged partridge
GCA_009819825.1_bCarCri1.pri	red-legged seriema (2019)
GCA_009819485.1_bCarCri1.alt	red-legged seriema (alternate hap 2019)
GCF_000690875.1_ASM69087v1	red-throated loon (BGI_N328 2014)
GCA_030936125.1_bGavSte3.hap1	red-throated loon (hap1 2023)
GCF_030936135.1_bGavSte3.hap2	red-throated loon (hap2 2023 refseq)
GCF_020745825.1_Agelaius_phoeniceus_1.1	red-winged blackbird (BioBank_ID:100140 2023)
GCF_000710305.1_ASM71030v1	rhinoceros hornbill
