accession	label	cell_type	tissue	_source_name	_study	__sample	__bsrate	__meth	__depth	__mapping	__uniq	__sites	__hmr_size	__hmr_count	__pmd_size	__pmd_count
SRX4193059	Heart	NA	heart	post mortem frozen tissue	SRP136499	SRS3403894	0.993	0.682	1.679	0.599	0.696	0.716	2083.13	25486	144098.14	314
SRX4193060	Heart	NA	heart	post mortem frozen tissue	SRP136499	SRS3403897	0.993	0.679	1.575	0.606	0.745	0.710	2197.53	25393	163305.09	252
SRX4193061	Kidney	NA	kidney	post mortem frozen tissue	SRP136499	SRS3403895	0.992	0.731	2.485	0.776	0.917	0.802	1710.17	29162	68629.4	671
SRX4193062	Kidney	NA	kidney	post mortem frozen tissue	SRP136499	SRS3403896	0.992	0.730	2.433	0.798	0.934	0.808	1714.42	30345	73036.5	647
SRX4193063	Liver	NA	liver	post mortem frozen tissue	SRP136499	SRS3403898	0.990	0.723	2.259	0.620	0.905	0.795	2334.87	28169	766547.36	971
SRX4193064	Liver	NA	liver	post mortem frozen tissue	SRP136499	SRS3403899	0.990	0.725	2.135	0.601	0.897	0.772	2299.66	28623	748900.25	1030
SRX4193068	Heart	NA	heart	post mortem frozen tissue	SRP136499	SRS3403903	0.992	0.696	2.055	0.694	0.868	0.770	1927.12	26888	97497.16	420
SRX4193069	Heart	NA	heart	post mortem frozen tissue	SRP136499	SRS3403904	0.992	0.696	2.307	0.709	0.877	0.805	1887.91	27358	94844.67	396
SRX4193071	Kidney	NA	kidney	post mortem frozen tissue	SRP136499	SRS3403907	0.993	0.713	2.527	0.778	0.920	0.807	1648.06	28985	62802.0	768
SRX4193072	Liver	NA	liver	post mortem frozen tissue	SRP136499	SRS3403906	0.992	0.708	2.390	0.651	0.825	0.779	2109.0	26555	481441.61	1286
SRX4193073	Liver	NA	liver	post mortem frozen tissue	SRP136499	SRS3403908	0.992	0.704	2.801	0.680	0.831	0.820	2031.21	28059	306396.79	1547
SRX671485	Gamete	NA	gamete	sperm	SRP045312	SRS676032	0.995	0.731	23.409	0.808	0.975	0.989	1483.65	78516	13732.34	5197
SRX6812141	LCL	NA	LCL	NA	SRP220230	SRS5356066	0.985	0.663	15.488	0.857	0.482	0.981	2244.95	42290	1254895.89	990
SRX6812142	LCL	NA	LCL	NA	SRP220230	SRS5356067	0.986	0.665	12.980	0.858	0.453	0.981	2044.06	37942	1513596.87	817
SRX7551865	Blood	NA	Peripheral blood	NA	SRP241850	SRS5989310	0.994	0.730	26.409	0.774	0.923	0.984	975.31	51064	10540.72	2179
SRX7551866	Blood	NA	Peripheral blood	NA	SRP241850	SRS5989311	0.991	0.686	20.287	0.842	0.748	0.986	1128.78	43263	12665.65	1659
SRX7551867	Blood	NA	Peripheral blood	NA	SRP241850	SRS5989312	0.992	0.681	22.271	0.848	0.732	0.987	1096.7	46406	12643.18	1618
SRX7551868	Blood	NA	Peripheral blood	NA	SRP241850	SRS5989313	0.992	0.692	24.820	0.846	0.740	0.989	957.51	57363	11085.12	1992
SRX760449	Placenta	NA	placenta	placenta	SRP049936	SRS745058	0.995	0.486	2.325	0.825	0.959	0.836	17739.16	12214	1566033.38	770
