GCF_007399415.2_rGopEvg1_v1.p	Goodes thornscrub tortoise
GCF_007474595.1_mLynCan4_v1.p	Canada lynx
GCF_008692025.1_mPhoSin1.pri	vaquita
GCF_008822105.2_bTaeGut2.pat.W.v2	zebra finch
GCF_009650955.1_bCorMon1.pri	New Caledonian crow
GCF_009769535.1_rThaEle1.pri	Western terrestrial garter snake
GCF_009819535.1_rLacAgi1.pri	sand lizard
GCF_009819795.1_bAytFul2.pri	tufted duck
GCF_009819885.1_bCatUst1.pri	Swainson's thrush
GCF_009829145.1_bChiLan1.pri	lance-tailed manakin
GCF_009829155.1_mMusErm1.Pri	ermine
GCF_010909765.1_sAmbRad1.pri	thorny skate
GCF_010993605.1_kPetMar1.pri	sea lamprey
GCF_011762595.1_mTurTru1.mat.Y	common bottlenose dolphin
GCF_900246225.1_fAstCal1.2	eastern happy
GCF_900324465.2_fAnaTes1.2	climbing perch
GCF_900324485.2_fMasArm1.2	zig-zag eel
GCF_900496995.1_bAquChr1.2	golden eagle
GCF_900634415.1_fCotGob3.1	bony fishes
GCF_900634625.1_fParRan2.1	Indian glassy fish
GCF_900634775.1_fGouWil2.1	blunt-snouted clingfish
GCF_900634795.2_fBetSpl5.2	Siamese fighting fish
GCF_900700375.1_fDenClu1.1	denticle herring
GCF_900747795.1_fErpCal1.1	reedfish
GCF_900880675.1_fSpaAur1.1	gilthead seabream
GCF_900963305.1_fEcheNa1.1	live sharksucker
GCF_900964775.1_fSclFor1.1	Asian bonytongue
GCF_901000725.2_fTakRub1.2	torafugu
GCF_901001135.1_aRhiBiv1.1	two-lined caecilian
GCF_901001165.1_fSalTru1.1	river trout
GCF_901765095.1_aMicUni1.1	caecilians
GCF_902148845.1_fSalaFa1.1	jewelled blenny
GCF_902148855.1_fSphaOr1.1	orbiculate cardinalfish
GCF_902150065.1_fMyrMur1.1	pinecone soldierfish
GCF_902167405.1_gadMor3.0	Atlantic cod
GCF_902362185.1_fChaCha1.1	milkfish
GCF_902459465.1_eAstRub1.3	European starfish
GCF_902459505.1_aGeoSer1.1	caecilians
