tableName	settings
wgEncodeSydhTfbsGm12878Pol2s2IggmusSig	1.000000 5123.000000
wgEncodeUchicagoTfbsK562Stat1Controlstat1SigRep2	0.000000 4112.297363
wgEncodeUwTfbsAg04450CtcfStdRawRep1	1.000000 13221.000000
wgEncodeHaibTfbsGm12878Ets1Pcr1xRawRep1	0.221942 138.214005
wgEncodeSydhTfbsGm12878Pol3StdSig	0.000000 11643.400391
wgEncodeUchicagoTfbsK562InputControlstat1SigRep1	0.000000 4601.861816
wgEncodeHaibTfbsGm12878Ets1Pcr1xRawRep2	0.246279 116.305000
wgEncodeSydhTfbsGm12878Rad21IggrabSig	0.000000 7561.200195
wgEncodeUwTfbsAg04450CtcfStdRawRep2	1.000000 10438.000000
wgEncodeUwTfbsAg04450InputStdRawRep1	1.000000 17581.000000
wgEncodeHaibTfbsGm12878Foxm1sc502V0422111RawRep1	0.107366 117.995003
wgEncodeSydhTfbsGm12878Rfx5200401194IggmusSig	1.000000 12822.000000
wgEncodeHaibTfbsGm12878Foxm1sc502V0422111RawRep2	0.187763 364.682007
wgEncodeSydhTfbsGm12878Sin3anb6001263IggmusSig	1.000000 9364.000000
wgEncodeUwTfbsAg09309CtcfStdRawRep1	1.000000 8409.000000
wgEncodeHaibTfbsGm12878GabpPcr2xRawRep1	0.155918 172.757004
wgEncodeSydhTfbsGm12878Smc3ab9263IggmusSig	1.000000 13469.000000
wgEncodeUwTfbsAg09309CtcfStdRawRep2	1.000000 7371.000000
wgEncodeHaibTfbsGm12878GabpPcr2xRawRep2	0.102584 210.141998
wgEncodeSydhTfbsGm12878Spt20StdSig	1.000000 279087.000000
wgEncodeUwTfbsAg09309InputStdRawRep1	1.000000 7173.000000
wgEncodeSydhTfbsGm12878Srebp1IggrabSig	1.000000 568.000000
wgEncodeHaibTfbsGm12878Irf4sc6059Pcr1xRawRep1	0.188264 148.587006
wgEncodeUwTfbsAg09319CtcfStdRawRep1	1.000000 11837.000000
wgEncodeSydhTfbsGm12878Srebp2IggrabSig	1.000000 600.000000
wgEncodeHaibTfbsGm12878Irf4sc6059Pcr1xRawRep2	0.161846 177.746994
wgEncodeHaibTfbsGm12878Mef2aPcr1xRawRep1	0.357467 789.643982
wgEncodeSydhTfbsGm12878Stat1StdSig	1.000000 11984.000000
wgEncodeUwTfbsAg09319CtcfStdRawRep2	1.000000 16542.000000
wgEncodeUwTfbsAg09319InputStdRawRep1	1.000000 23698.000000
wgEncodeHaibTfbsGm12878Mef2aPcr1xRawRep2	0.208574 219.733002
wgEncodeSydhTfbsGm12878Stat3IggmusSig	1.000000 10782.000000
wgEncodeHaibTfbsGm12878Mef2csc13268V0416101RawRep1	0.370631 137.225998
wgEncodeSydhTfbsGm12878Tblr1ab24550IggmusSig	1.000000 12597.000000
wgEncodeUwTfbsAg10803CtcfStdRawRep1	1.000000 19625.000000
wgEncodeHaibTfbsGm12878Mef2csc13268V0416101RawRep2	0.227777 159.158997
wgEncodeSydhTfbsGm12878TbpIggmusSig	0.000000 25521.199219
wgEncodeUwTfbsAg10803CtcfStdRawRep2	1.000000 21460.000000
wgEncodeHaibTfbsGm12878Mta3sc81325V0422111RawRep1	0.124447 108.705002
wgEncodeSydhTfbsGm12878Tr4StdSig	0.000000 8489.599609
wgEncodeUwTfbsAg10803InputStdRawRep1	1.000000 21401.000000
wgEncodeHaibTfbsGm12878Mta3sc81325V0422111RawRep2	0.124979 102.202003
wgEncodeSydhTfbsGm12878Usf2IggmusSig	1.000000 8996.000000
wgEncodeUwTfbsAoafCtcfStdRawRep1	1.000000 4397.000000
wgEncodeHaibTfbsGm12878Nfatc1sc17834V0422111RawRep1	0.134567 119.528999
wgEncodeSydhTfbsGm12878WhipIggmusSig	0.000000 6583.799805
wgEncodeHaibTfbsGm12878Nfatc1sc17834V0422111RawRep2	0.152496 124.818001
wgEncodeSydhTfbsGm12878Yy1StdSig	0.000000 15035.299805
wgEncodeUwTfbsAoafCtcfStdRawRep2	1.000000 18876.000000
wgEncodeUwTfbsAoafInputStdRawRep1	1.000000 17667.000000
wgEncodeHaibTfbsGm12878Nficsc81335V0422111RawRep1	0.137796 126.428001
wgEncodeSydhTfbsGm12878Znf143166181apStdSig	1.000000 12838.000000
wgEncodeHaibTfbsGm12878Nficsc81335V0422111RawRep2	0.150112 255.979004
wgEncodeSydhTfbsGm12878Znf274StdSig	1.000000 11447.000000
wgEncodeUwTfbsBe2cCtcfStdRawRep1	1.000000 23779.000000
wgEncodeHaibTfbsGm12878NrsfPcr1xRawRep1	0.274588 164.820999
wgEncodeSydhTfbsGm12878Zzz3StdSig	0.000000 16569.800781
wgEncodeSydhTfbsGm12878InputIggmusSig	0.000000 11413.400391
wgEncodeUwTfbsBe2cCtcfStdRawRep2	1.000000 14708.000000
wgEncodeHaibTfbsGm12878NrsfPcr1xRawRep2	0.252183 615.265015
wgEncodeSydhTfbsGm12878InputTnfaIggrabSig	0.000000 8421.900391
wgEncodeUwTfbsBe2cInputStdRawRep1	1.000000 17997.000000
wgEncodeSydhTfbsGm12878InputIggrabSig	1.000000 5818.000000
wgEncodeSydhTfbsGm12878InputStdSig	0.000000 9525.200195
wgEncodeHaibTfbsGm12878NrsfPcr2xRawRep1	0.170084 245.302994
wgEncodeUwTfbsBjCtcfStdRawRep1	1.000000 8153.000000
wgEncodeHaibTfbsGm12878NrsfPcr2xRawRep2	0.206820 181.897995
wgEncodeSydhTfbsH1hescBach1sc14700IggrabSig	1.000000 101131.000000
wgEncodeHaibTfbsGm12878P300Pcr1xRawRep1	0.110460 174.112000
wgEncodeSydhTfbsH1hescBrca1IggrabSig	1.000000 16893.000000
wgEncodeUwTfbsBjCtcfStdRawRep2	1.000000 5047.000000
wgEncodeUwTfbsBjInputStdRawRep1	1.000000 15966.000000
wgEncodeHaibTfbsGm12878P300Pcr1xRawRep2	0.185099 173.298996
wgEncodeSydhTfbsH1hescCebpbIggrabSig	1.000000 19524.000000
wgEncodeHaibTfbsGm12878Pax5c20Pcr1xRawRep1	0.088808 142.625000
wgEncodeSydhTfbsH1hescChd1a301218aIggrabSig	1.000000 22727.000000
wgEncodeUwTfbsCaco2CtcfStdRawRep1	1.000000 8162.000000
wgEncodeHaibTfbsGm12878Pax5c20Pcr1xRawRep2	0.225667 156.386993
wgEncodeSydhTfbsH1hescChd2IggrabSig	1.000000 15584.000000
wgEncodeUwTfbsCaco2CtcfStdRawRep2	1.000000 10289.000000
wgEncodeHaibTfbsGm12878Pax5n19Pcr1xRawRep1	0.230610 131.505005
wgEncodeSydhTfbsH1hescCjunIggrabSig	1.000000 13937.000000
wgEncodeUwTfbsCaco2InputStdRawRep1	1.000000 9741.000000
wgEncodeHaibTfbsGm12878Pax5n19Pcr1xRawRep2	0.124647 134.369003
wgEncodeSydhTfbsH1hescCmycIggrabSig	1.000000 26576.000000
wgEncodeHaibTfbsGm12878Pbx3Pcr1xRawRep1	0.175712 145.753006
wgEncodeUwTfbsGm06990CtcfStdRawRep1	1.000000 6903.000000
wgEncodeSydhTfbsH1hescCtbp2UcdSig	1.000000 2699.000000
wgEncodeHaibTfbsGm12878Pbx3Pcr1xRawRep2	0.161431 658.559021
wgEncodeSydhTfbsH1hescGtf2f1IggrabSig	1.000000 14827.000000
wgEncodeUwTfbsGm06990CtcfStdRawRep2	1.000000 8819.000000
wgEncodeHaibTfbsGm12878Pmlsc71910V0422111RawRep1	0.152215 190.192001
wgEncodeUwTfbsGm06990InputStdRawRep1	1.000000 8015.000000
wgEncodeSydhTfbsH1hescJundIggrabSig	1.000000 18707.000000
wgEncodeHaibTfbsGm12878Pmlsc71910V0422111RawRep2	0.153088 143.903000
wgEncodeSydhTfbsH1hescMafkIggrabSig	1.000000 16631.000000
wgEncodeUwTfbsGm12801CtcfStdRawRep1	1.000000 1190.000000
wgEncodeUwTfbsGm12801InputStdRawRep1	1.000000 10337.000000
wgEncodeHaibTfbsGm12878Pol2Pcr2xRawRep1	0.104848 445.602997
wgEncodeSydhTfbsH1hescMaxUcdSig	0.000000 4869.100098
wgEncodeHaibTfbsGm12878Pol2Pcr2xRawRep2	0.099281 411.470001
wgEncodeSydhTfbsH1hescMxi1IggrabSig	1.000000 18473.000000
wgEncodeUwTfbsGm12864CtcfStdRawRep1	1.000000 4037.000000
wgEncodeHaibTfbsGm12878Pol24h8Pcr1xRawRep1	0.106921 267.355011
wgEncodeSydhTfbsH1hescNrf1IggrabSig	1.000000 15436.000000
wgEncodeUwTfbsGm12864CtcfStdRawRep2	1.000000 6440.000000
wgEncodeHaibTfbsGm12878Pol24h8Pcr1xRawRep2	0.025339 193.464005
wgEncodeSydhTfbsH1hescRad21IggrabSig	1.000000 10875.000000
wgEncodeHaibTfbsGm12878Pou2f2Pcr1xRawRep1	0.121305 129.796005
wgEncodeSydhTfbsH1hescRfx5200401194IggrabSig	1.000000 15995.000000
wgEncodeUwTfbsGm12864CtcfStdRawRep3	1.000000 7668.000000
wgEncodeUwTfbsGm12864InputStdRawRep1	1.000000 8541.000000
wgEncodeHaibTfbsGm12878Pou2f2Pcr1xRawRep2	0.066840 119.193001
wgEncodeSydhTfbsH1hescSin3anb6001263IggrabSig	1.000000 15108.000000
wgEncodeHaibTfbsGm12878Pou2f2Pcr1xRawRep3	0.220496 144.203995
wgEncodeSydhTfbsH1hescSuz12UcdSig	0.000000 16121.099609
wgEncodeUwTfbsGm12865CtcfStdRawRep1	1.000000 4888.000000
wgEncodeHaibTfbsGm12878Pu1Pcr1xRawRep1	0.204042 514.492004
wgEncodeSydhTfbsH1hescTbpIggrabSig	1.000000 116756.000000
wgEncodeUwTfbsGm12865CtcfStdRawRep2	1.000000 3768.000000
wgEncodeHaibTfbsGm12878Pu1Pcr1xRawRep2	0.111357 104.898003
wgEncodeSydhTfbsH1hescUsf2IggrabSig	1.000000 17257.000000
wgEncodeHaibTfbsGm12878Pu1Pcr1xRawRep3	0.216928 193.173996
wgEncodeSydhTfbsH1hescZnf143IggrabSig	1.000000 13457.000000
wgEncodeUwTfbsGm12865CtcfStdRawRep3	1.000000 9191.000000
wgEncodeUwTfbsGm12865InputStdRawRep1	1.000000 9831.000000
wgEncodeHaibTfbsGm12878Rad21V0416101RawRep1	0.344315 157.352005
wgEncodeSydhTfbsH1hescZnf274m01UcdSig	1.000000 10138.000000
wgEncodeSydhTfbsH1hescInputIggrabSig	1.000000 16832.000000
wgEncodeHaibTfbsGm12878Rad21V0416101RawRep2	0.183488 92.707603
wgEncodeSydhTfbsH1hescInputUcdSig	0.000000 5709.399902
wgEncodeUwTfbsGm12872CtcfStdRawRep1	1.000000 4091.000000
wgEncodeHaibTfbsGm12878Runx3sc101553V0422111RawRep1	0.117621 100.154999
wgEncodeSydhTfbsK562Arid3asc8821IggrabSig	1.000000 15048.000000
wgEncodeUwTfbsGm12872CtcfStdRawRep2	1.000000 6815.000000
wgEncodeHaibTfbsGm12878Runx3sc101553V0422111RawRep2	0.120723 85.230202
wgEncodeSydhTfbsK562Atf106325StdSig	1.000000 34388.000000
wgEncodeHaibTfbsGm12878RxraPcr1xRawRep1	0.160464 114.411003
wgEncodeSydhTfbsK562Atf3StdSig	0.000000 15394.700195
wgEncodeUwTfbsGm12872CtcfStdRawRep3	1.000000 8480.000000
wgEncodeUwTfbsGm12872InputStdRawRep1	1.000000 7087.000000
wgEncodeHaibTfbsGm12878RxraPcr1xRawRep2	0.213342 371.108002
wgEncodeSydhTfbsK562Bach1sc14700IggrabSig	1.000000 213673.000000
wgEncodeHaibTfbsGm12878Six5Pcr1xRawRep1	0.171355 119.049004
wgEncodeSydhTfbsK562Bdp1StdSig	0.000000 14120.299805
wgEncodeUwTfbsGm12873CtcfStdRawRep1	1.000000 3714.000000
wgEncodeHaibTfbsGm12878Six5Pcr1xRawRep2	0.147250 164.367996
wgEncodeSydhTfbsK562Bhlhe40nb100IggrabSig	1.000000 18479.000000
wgEncodeUwTfbsGm12873CtcfStdRawRep2	1.000000 4813.000000
wgEncodeHaibTfbsGm12878Sp1Pcr1xRawRep1	0.104618 140.082993
wgEncodeSydhTfbsK562Brf1StdSig	0.000000 11787.900391
wgEncodeHaibTfbsGm12878Sp1Pcr1xRawRep2	0.173623 124.964996
wgEncodeSydhTfbsK562Brf2StdSig	0.000000 13498.599609
wgEncodeUwTfbsGm12873CtcfStdRawRep3	1.000000 7017.000000
wgEncodeUwTfbsGm12873InputStdRawRep1	1.000000 8562.000000
wgEncodeHaibTfbsGm12878SrfPcr2xRawRep1	0.116723 98.106003
wgEncodeSydhTfbsK562Brg1IggmusSig	0.000000 10317.900391
wgEncodeHaibTfbsGm12878SrfPcr2xRawRep2	0.116891 88.252899
wgEncodeSydhTfbsK562Ccnt2StdSig	0.000000 4295.200195
wgEncodeUwTfbsGm12874CtcfStdRawRep1	1.000000 3615.000000
wgEncodeHaibTfbsGm12878SrfV0416101RawRep1	0.227604 196.365997
wgEncodeSydhTfbsK562CebpbIggrabSig	1.000000 16377.000000
wgEncodeUwTfbsGm12874CtcfStdRawRep2	1.000000 4160.000000
wgEncodeHaibTfbsGm12878SrfV0416101RawRep2	0.191033 128.994995
wgEncodeSydhTfbsK562CfosStdSig	0.000000 10413.599609
wgEncodeUwTfbsGm12874InputStdRawRep1	1.000000 8370.000000
wgEncodeHaibTfbsGm12878Stat5asc74442V0422111RawRep1	0.141727 102.539001
wgEncodeSydhTfbsK562Chd2ab68301IggrabSig	1.000000 18423.000000
wgEncodeUwTfbsGm12875CtcfStdRawRep1	1.000000 4128.000000
wgEncodeHaibTfbsGm12878Stat5asc74442V0422111RawRep2	0.143053 134.505997
wgEncodeSydhTfbsK562CjunIggrabSig	1.000000 440.000000
wgEncodeHaibTfbsGm12878Taf1Pcr1xRawRep1	0.215867 165.570007
wgEncodeSydhTfbsK562CjunIfna30StdSig	1.000000 38075.000000
wgEncodeUwTfbsGm12875CtcfStdRawRep2	1.000000 3639.000000
wgEncodeUwTfbsGm12875InputStdRawRep1	1.000000 7544.000000
wgEncodeHaibTfbsGm12878Taf1Pcr1xRawRep2	0.152062 165.367004
