accession	label	cell_type	tissue	_source_name	_study	__sample	__bsrate	__meth	__depth	__mapping	__uniq	__sites	__hmr_size	__hmr_count	__pmd_size	__pmd_count
SRX22149911	Blood	CD8 T cell	peripheral blood	peripheral blood	SRP467414	SRS19209443	0.979	0.709	4.814	0.846	0.182	0.912	1815.46	29294	20934.2	563
SRX22149912	Blood	CD8 T cell	peripheral blood	peripheral blood	SRP467414	SRS19209444	0.980	0.730	4.862	0.860	0.161	0.914	1606.55	30202	18681.49	632
SRX22149913	Blood	CD8 T cell	peripheral blood	peripheral blood	SRP467414	SRS19209445	0.979	0.726	5.289	0.721	0.250	0.919	1637.62	29421	20973.34	508
SRX22163323	HTM	NA	HTM	NA	SRP467808	SRS19221781	0.994	0.689	9.514	0.740	0.814	0.961	7388.69	64143	298542.65	2322
SRX22163326	HTM	NA	HTM	NA	SRP467808	SRS19221786	0.971	0.726	11.819	0.876	0.807	0.964	6676.43	74363	249390.66	2823
SRX22163328	HTM	NA	HTM	NA	SRP467808	SRS19221782	0.990	0.720	10.980	0.809	0.795	0.964	7100.88	67058	254653.98	2734
SRX22163329	HTM	NA	HTM	NA	SRP467808	SRS19221785	0.992	0.711	10.147	0.854	0.806	0.962	7015.79	68676	297256.02	2395
SRX22163331	HTM	NA	HTM	NA	SRP467808	SRS19221789	0.920	0.696	6.615	0.744	0.788	0.955	8624.0	54128	331805.45	2104
SRX22163333	HTM	NA	HTM	NA	SRP467808	SRS19221792	0.941	0.693	12.425	0.771	0.762	0.964	7204.29	68168	241171.77	2848
SRX22163336	HTM	NA	HTM	NA	SRP467808	SRS19221795	0.932	0.694	8.867	0.755	0.791	0.961	8056.26	60249	296945.25	2355
SRX22163337	HTM	NA	HTM	NA	SRP467808	SRS19221794	0.944	0.727	10.823	0.807	0.777	0.964	7274.1	67346	246150.73	2878
SRX22163345	HTM	NA	HTM	NA	SRP467808	SRS19221798	0.951	0.703	8.927	0.713	0.821	0.960	7844.44	61996	295090.82	2380
SRX22163356	HTM	NA	HTM	NA	SRP467808	SRS19221813	0.920	0.736	9.390	0.876	0.813	0.962	7499.41	65425	296518.88	2430
SRX22163365	Tissue	NA	Tissue	NA	SRP467808	SRS19221821	0.982	0.753	8.655	0.843	0.793	0.962	1294.02	37657	26370.62	1219
SRX22163366	Tissue	NA	Tissue	NA	SRP467808	SRS19221826	0.995	0.724	7.633	0.819	0.797	0.955	1171.18	39463	14030.09	1162
SRX22163367	HTM	NA	HTM	NA	SRP467808	SRS19221823	0.993	0.721	9.342	0.877	0.786	0.961	7128.86	67496	299548.15	2379
SRX22163368	Tissue	NA	Tissue	NA	SRP467808	SRS19221825	0.997	0.784	8.913	0.879	0.783	0.958	1044.35	51899	15523.97	1700
SRX22163369	Tissue	NA	Tissue	NA	SRP467808	SRS19221824	0.996	0.755	8.741	0.847	0.771	0.961	1117.45	43654	14813.26	1311
SRX22163370	Tissue	NA	Tissue	NA	SRP467808	SRS19221830	0.996	0.760	8.725	0.814	0.770	0.961	1083.59	46816	13057.65	1672
SRX22163371	Tissue	NA	Tissue	NA	SRP467808	SRS19221829	0.996	0.773	9.666	0.859	0.777	0.961	1005.56	56312	15615.56	2040
SRX22163372	Tissue	NA	Tissue	NA	SRP467808	SRS19221828	0.997	0.777	8.995	0.883	0.779	0.958	1030.26	52188	18219.31	1605
SRX22163373	Tissue	NA	Tissue	NA	SRP467808	SRS19221833	0.996	0.778	8.609	0.879	0.788	0.957	1048.35	51114	17707.85	1783
SRX22163374	Tissue	NA	Tissue	NA	SRP467808	SRS19221831	0.997	0.772	10.552	0.875	0.749	0.959	997.59	55514	10173.51	2800
SRX22163375	Tissue	NA	Tissue	NA	SRP467808	SRS19221832	0.997	0.751	8.271	0.866	0.804	0.961	1111.09	47524	15769.28	1587
SRX22163376	Tissue	NA	Tissue	NA	SRP467808	SRS19221834	0.997	0.777	8.812	0.874	0.792	0.962	1057.21	53194	16881.57	1559
SRX22163377	Tissue	NA	Tissue	NA	SRP467808	SRS19221836	0.997	0.748	9.575	0.833	0.782	0.963	1263.03	39539	194183.95	2256
SRX22163378	HTM	NA	HTM	NA	SRP467808	SRS19221835	0.991	0.716	13.519	0.808	0.803	0.966	6316.55	77400	239783.25	2933
SRX22163379	HTM	NA	HTM	NA	SRP467808	SRS19221839	0.984	0.704	14.560	0.727	0.823	0.966	6511.71	75683	236789.55	2930
SRX22368596	Bone Marrow	hematopoietic stem cells	Bone marrow	NA	SRP470181	SRS19416333	0.984	0.753	5.361	0.370	0.227	0.931	1209.62	41765	35000.81	887
SRX22368599	Bone Marrow	hematopoietic stem cells	Bone marrow	NA	SRP470181	SRS19416336	0.985	0.753	17.181	0.731	0.630	0.971	902.35	64161	11204.43	3328
SRX22368600	Bone Marrow	megakaryocyte progenitor cells	Bone marrow	NA	SRP470181	SRS19416337	0.975	0.745	4.246	0.352	0.170	0.905	1360.55	36166	35832.08	799
