accession	label	cell_type	tissue	_source_name	_study	__sample	__bsrate	__meth	__depth	__mapping	__uniq	__sites	__hmr_size	__hmr_count	__pmd_size	__pmd_count
SRX2614675	Brain (Dentate Gyrus Of The Hippocampus)	NA	brain (dentate gyrus of the hippocampus)	whole tissue from dorsal dentate gyrus in mouse	SRP101453	SRS2025164	0.993	0.738	9.404	0.818	0.855	0.944	1233.69	61627	16931.61	1720
SRX2614676	Brain (Dentate Gyrus Of The Hippocampus)	NA	brain (dentate gyrus of the hippocampus)	whole tissue from ventral dentate gyrus in mouse	SRP101453	SRS2025165	0.992	0.733	11.016	0.826	0.863	0.946	1158.02	52235	14563.24	1817
SRX2614677	Brain (Dentate Gyrus Of The Hippocampus)	NA	brain (dentate gyrus of the hippocampus)	whole tissue from ventral dentate gyrus in mouse	SRP101453	SRS2025166	0.991	0.724	11.870	0.826	0.866	0.946	1139.94	51501	13599.65	1829
SRX2614678	Brain (Dentate Gyrus Of The Hippocampus)	NA	brain (dentate gyrus of the hippocampus)	whole tissue from ventral dentate gyrus in mouse	SRP101453	SRS2025167	0.992	0.728	9.905	0.816	0.878	0.946	1158.61	49318	14858.33	1430
SRX2614679	Brain (Dentate Gyrus Of The Hippocampus)	NA	brain (dentate gyrus of the hippocampus)	whole tissue from ventral dentate gyrus in mouse	SRP101453	SRS2025168	0.992	0.725	9.836	0.821	0.889	0.945	1159.97	50041	13525.71	1934
SRX2614680	Brain (Dentate Gyrus Of The Hippocampus)	NA	brain (dentate gyrus of the hippocampus)	whole tissue from ventral dentate gyrus in mouse	SRP101453	SRS2025169	0.991	0.740	9.702	0.818	0.857	0.945	1176.8	48231	14173.62	1672
SRX2614681	Brain (Dentate Gyrus Of The Hippocampus)	NA	brain (dentate gyrus of the hippocampus)	whole tissue from dorsal dentate gyrus in mouse	SRP101453	SRS2025170	0.993	0.738	10.779	0.816	0.829	0.945	1231.49	65816	16414.24	2077
SRX2614682	Brain (Dentate Gyrus Of The Hippocampus)	NA	brain (dentate gyrus of the hippocampus)	whole tissue from dorsal dentate gyrus in mouse	SRP101453	SRS2025171	0.993	0.729	11.793	0.824	0.852	0.947	1224.63	67595	16871.62	1995
SRX2614683	Brain (Dentate Gyrus Of The Hippocampus)	NA	brain (dentate gyrus of the hippocampus)	whole tissue from dorsal dentate gyrus in mouse	SRP101453	SRS2025172	0.993	0.708	12.178	0.802	0.786	0.944	1237.13	67933	16195.88	2107
SRX2614684	Brain (Dentate Gyrus Of The Hippocampus)	NA	brain (dentate gyrus of the hippocampus)	whole tissue from dorsal dentate gyrus in mouse	SRP101453	SRS2025173	0.993	0.719	12.310	0.830	0.875	0.948	1223.26	70551	17977.86	1775
SRX2614685	Brain (Dentate Gyrus Of The Hippocampus)	NA	brain (dentate gyrus of the hippocampus)	whole tissue from dorsal dentate gyrus in mouse	SRP101453	SRS2025174	0.994	0.714	11.268	0.819	0.882	0.947	1225.01	69144	17808.49	1806
SRX2614686	Brain (Dentate Gyrus Of The Hippocampus)	NA	brain (dentate gyrus of the hippocampus)	whole tissue from ventral dentate gyrus in mouse	SRP101453	SRS2025176	0.991	0.749	10.586	0.820	0.851	0.946	1167.18	48827	14107.21	1782
SRX2614687	Brain (Dentate Gyrus Of The Hippocampus)	NA	brain (dentate gyrus of the hippocampus)	whole tissue from ventral dentate gyrus in mouse	SRP101453	SRS2025175	0.992	0.724	12.298	0.826	0.875	0.948	1138.85	51843	13791.11	1852
SRX2614688	Brain (Dentate Gyrus Of The Hippocampus)	NA	brain (dentate gyrus of the hippocampus)	whole tissue from ventral dentate gyrus in mouse	SRP101453	SRS2025178	0.991	0.718	13.594	0.814	0.813	0.945	1134.78	52452	14975.13	1524
SRX2614689	Brain (Dentate Gyrus Of The Hippocampus)	NA	brain (dentate gyrus of the hippocampus)	whole tissue from ventral dentate gyrus in mouse	SRP101453	SRS2025177	0.992	0.730	9.961	0.822	0.877	0.946	1172.11	52158	14432.74	1808
SRX2614690	Brain (Dentate Gyrus Of The Hippocampus)	NA	brain (dentate gyrus of the hippocampus)	whole tissue from ventral dentate gyrus in mouse	SRP101453	SRS2025179	0.992	0.739	11.479	0.827	0.861	0.946	1154.66	51910	14584.6	1772
SRX26193485	ESC	embryonic stem cell	not applicable	NA	SRP534659	SRS22735831	0.983	0.448	13.602	0.894	0.694	0.955	2215.82	60791	55722.14	2666
SRX26193486	ESC	embryonic stem cell	not applicable	NA	SRP534659	SRS22735832	0.981	0.455	12.596	0.900	0.614	0.953	2255.99	58395	53513.12	2703
SRX26193487	ESC	embryonic stem cell	not applicable	NA	SRP534659	SRS22735833	0.981	0.647	11.850	0.895	0.608	0.956	1766.7	62894	32244.84	4070
SRX26193488	ESC	embryonic stem cell	not applicable	NA	SRP534659	SRS22735834	0.980	0.638	12.311	0.894	0.593	0.957	1772.93	64140	34345.29	3954
SRX26193489	Extended Epiblast-Like	extended epiblast-like cell	not applicable	NA	SRP534659	SRS22735835	0.976	0.816	13.351	0.896	0.658	0.954	1260.34	34379	31262.37	2747
SRX26193490	Extended Epiblast-Like	extended epiblast-like cell	not applicable	NA	SRP534659	SRS22735836	0.978	0.821	12.477	0.897	0.622	0.953	1266.75	33737	32582.75	2450
SRX26193491	Extended Epiblast-Like	extended epiblast-like cell	not applicable	NA	SRP534659	SRS22735837	0.973	0.834	13.348	0.898	0.661	0.958	1182.24	35836	20951.37	2328
SRX26193492	Extended Epiblast-Like	extended epiblast-like cell	not applicable	NA	SRP534659	SRS22735838	0.972	0.834	13.216	0.901	0.646	0.958	1199.28	36768	21147.29	2390
SRX26214988	ESCs (mESC)	mouse embryonic stem cells (mESC)	NA	mESC	SRP535166	SRS22757995	0.980	0.251	8.259	0.788	0.652	0.937	82589.77	65	0.0	0
SRX26214989	ESCs (mESC)	mouse embryonic stem cells (mESC)	NA	mESC	SRP535166	SRS22757997	0.980	0.252	6.531	0.788	0.648	0.930	0.0	0	0.0	0
SRX26214990	ESCs (mESC)	mouse embryonic stem cells (mESC)	NA	mESC	SRP535166	SRS22757998	0.981	0.249	8.682	0.790	0.655	0.937	82403.8	35	0.0	0
SRX26214991	ESCs (mESC)	mouse embryonic stem cells (mESC)	NA	mESC	SRP535166	SRS22757999	0.983	0.035	8.327	0.785	0.656	0.938	0.0	0	77635985.0	1
SRX26214992	ESCs (mESC)	mouse embryonic stem cells (mESC)	NA	mESC	SRP535166	SRS22758000	0.983	0.029	8.636	0.779	0.661	0.938	0.0	0	0.0	0
SRX26214993	ESCs (mESC)	mouse embryonic stem cells (mESC)	NA	mESC	SRP535166	SRS22758001	0.983	0.029	7.876	0.781	0.645	0.935	0.0	0	52912957.0	1
SRX26214994	ESCs (mESC)	mouse embryonic stem cells (mESC)	NA	mESC	SRP535166	SRS22758002	0.981	0.534	10.036	0.786	0.651	0.941	2577.36	35683	146617.85	2994
SRX26214995	ESCs (mESC)	mouse embryonic stem cells (mESC)	NA	mESC	SRP535166	SRS22758003	0.980	0.534	6.534	0.783	0.630	0.931	3439.62	31979	263484.58	1861
SRX26214996	ESCs (mESC)	mouse embryonic stem cells (mESC)	NA	mESC	SRP535166	SRS22758004	0.980	0.532	9.980	0.780	0.650	0.941	2546.75	35418	132785.91	3364
SRX262536	SRS409481	NA	NA	NA	SRP020633	SRS409481	0.993	0.780	16.514	0.773	0.764	0.938	1021.65	73081	8498.98	3391
SRX2627072	Around 100 mouse ESCs E14	NA	Around 100 mouse embryonic stem cells, E14	shTdg-ESC-liMAB-PBAT-MAB	SRP101591	SRS2037020	0.949	0.888	8.007	0.695	0.861	0.844	1014.94	13007	408438.73	596
SRX262943	SRS409815	NA	NA	NA	SRP020633	SRS409815	0.993	0.739	14.599	0.636	0.823	0.938	1041.01	65143	7996.9	3076
SRX263010	SRS409880	NA	NA	NA	SRP020633	SRS409880	0.994	0.748	17.188	0.819	0.919	0.941	1096.51	62314	8418.29	2741
SRX2635305	ESC	embryonic stem cells	NA	embryonic stem cell	SRP101774	SRS2044086	0.997	0.097	10.196	0.659	0.635	0.939	0.0	0	0.0	0
