B0361.6	7	-0.033,-0.519,-0.298,0.010,-0.402,-1.009,-0.036,
B0403.2	7	0.151,-0.218,-0.319,-0.313,-0.565,-0.473,-0.895,
B0403.4	7	-0.568,-0.705,-1.338,-0.473,-0.548,-0.790,-0.595,
C14A11.5	7	0.038,-0.230,-0.137,0.072,-0.364,-0.176,-1.011,
C14B9.4	7	0.138,0.209,0.112,0.229,-0.181,-1.054,1.351,
C14B9.6	7	-0.257,0.049,0.027,-0.110,-0.047,-0.345,-0.736,
C14C6.6	7	-0.055,-0.041,0.097,0.352,0.148,-0.429,-0.315,
C14C6.9	7	0.032,-0.139,0.029,0.027,-0.205,-0.584,-0.400,
C14C11.2	7	0.660,0.826,1.328,0.209,0.224,-1.796,0.477,
C34G6.6	7	-1.780,0.995,-3.036,-1.992,-0.539,0.661,-1.377,
C34H4.1	7	0.132,-0.002,-0.407,-0.387,-0.344,-0.337,-0.688,
C34H4.3	7	0.449,0.424,0.516,0.191,0.140,0.339,-0.367,
C35D10.2	7	0.970,0.833,1.514,-0.130,-2.677,-3.464,-2.428,
C35E7.2	7	-0.010,-0.101,0.017,0.141,-0.201,-0.682,-1.534,
C35E7.4	7	-0.336,-0.364,-0.099,0.298,0.523,-0.153,-0.850,
C01H6.4	7	0.259,0.080,-0.548,-0.820,-0.857,-1.240,0.247,
C02C2.4	7	-0.111,-0.125,-0.404,-0.580,-0.658,-1.342,-0.004,
C02D5.1	7	-0.125,0.563,0.059,0.266,-1.040,0.000,-0.629,
C02E7.10	7	-0.027,0.130,-0.383,0.429,-0.464,-0.528,-0.863,
C02E11.1	7	-0.976,-0.766,-1.870,-2.006,-1.693,-0.743,-0.116,
C02F4.2	7	-0.144,-0.411,-0.777,-0.314,-0.238,-0.498,-0.957,
C14C10.2	7	0.339,0.147,-0.041,0.144,-0.471,-0.707,0.415,
C14C11.6	7	0.584,0.511,0.379,-0.133,-0.631,-1.407,1.122,
C14F11.3	7	0.659,0.304,0.114,0.183,-0.581,-0.013,-0.547,
C14F11.5	7	0.584,0.289,0.241,0.284,-0.383,-0.990,-0.394,
C15A7.1	7	-0.066,-0.230,-0.006,-0.021,-0.492,-0.263,-0.464,
C15B12.7	7	-0.054,-0.203,-0.559,-0.015,-0.298,-0.671,-0.661,
C35C5.1	7	-0.366,-0.141,-0.056,0.256,-0.328,-0.273,-0.240,
C35C5.6	7	-0.200,0.038,-0.261,-0.287,0.989,-0.488,0.108,
C35D10.6	7	0.310,0.623,0.436,0.316,-0.689,-0.546,0.916,
C35D10.10	7	-0.288,0.486,0.138,-0.097,-0.251,-0.975,1.149,
C35E7.1	7	0.169,0.200,0.041,-2.055,-1.802,-1.123,-0.106,
C36B1.4	7	0.873,0.106,-1.083,-1.070,-1.398,-1.245,0.391,
C55B7.4	7	-0.742,0.850,-2.056,-2.831,-2.254,-2.606,2.099,
C55B7.6	7	-0.155,-0.018,-0.720,0.271,0.623,-0.794,-3.203,
C55B7.8	7	0.139,0.137,0.063,-1.737,-0.415,-0.744,-0.219,
C55C2.3	7	0.392,0.133,0.458,2.888,0.252,0.030,-1.469,
C55C3.4	7	-0.365,0.025,0.726,0.136,-2.430,-0.999,-2.947,
