accession	label	cell_type	tissue	_source_name	_study	__sample	__bsrate	__meth	__depth	__mapping	__uniq	__sites	__hmr_size	__hmr_count	__pmd_size	__pmd_count
SRX32167078	Embryo Liver	NA	embryo liver	embryo liver	SRP677078	SRS28096056	0.987	0.593	17.470	0.852	0.531	0.944	1212.0	22751	12822.08	724
SRX32167079	Embryo Liver	NA	embryo liver	embryo liver	SRP677078	SRS28096057	0.987	0.597	15.566	0.852	0.553	0.938	1236.12	22347	12827.54	600
SRX32167080	Embryo Liver	NA	embryo liver	embryo liver	SRP677078	SRS28096058	0.987	0.577	18.130	0.860	0.544	0.939	1209.87	22573	13314.09	662
SRX32167081	Embryo Liver	NA	embryo liver	embryo liver	SRP677078	SRS28096059	0.987	0.587	16.041	0.864	0.532	0.939	1199.1	22749	11772.07	799
SRX32167082	Embryo Liver	NA	embryo liver	embryo liver	SRP677078	SRS28096060	0.983	0.542	18.685	0.862	0.527	0.949	1185.79	24329	12659.38	1089
SRX32167083	Embryo Liver	NA	embryo liver	embryo liver	SRP677078	SRS28096061	0.983	0.541	17.848	0.864	0.555	0.954	1169.8	24405	14243.66	775
SRX32167084	Embryo Liver	NA	embryo liver	embryo liver	SRP677078	SRS28096062	0.984	0.551	18.196	0.864	0.516	0.949	1194.97	24305	14975.8	781
SRX32167085	Embryo Muscle	NA	embryo muscle	embryo muscle	SRP677078	SRS28096063	0.983	0.519	22.135	0.853	0.657	0.957	1169.88	25206	15002.11	684
SRX32167086	Embryo Muscle	NA	embryo muscle	embryo muscle	SRP677078	SRS28096064	0.983	0.504	17.474	0.855	0.663	0.948	1201.92	24407	12958.78	875
SRX32167087	Embryo Muscle	NA	embryo muscle	embryo muscle	SRP677078	SRS28096065	0.987	0.603	17.178	0.859	0.544	0.935	1229.45	22955	11623.64	930
SRX32167088	Embryo Muscle	NA	embryo muscle	embryo muscle	SRP677078	SRS28096067	0.987	0.603	13.935	0.856	0.548	0.926	1279.55	22119	12680.23	677
SRX32167089	Embryo Muscle	NA	embryo muscle	embryo muscle	SRP677078	SRS28096066	0.987	0.592	15.879	0.854	0.507	0.926	1232.58	22043	12443.86	631
SRX32167090	Embryo Muscle	NA	embryo muscle	embryo muscle	SRP677078	SRS28096069	0.987	0.590	16.604	0.860	0.562	0.928	1239.74	23044	13965.91	646
SRX32167091	Embryo Liver	NA	embryo liver	embryo liver	SRP677078	SRS28096068	0.984	0.543	19.560	0.869	0.576	0.949	1166.79	24698	14184.34	924
SRX32167092	Embryo Muscle	NA	embryo muscle	embryo muscle	SRP677078	SRS28096070	0.984	0.548	20.501	0.850	0.617	0.957	1139.55	25347	14171.71	1010
SRX32167093	Embryo Muscle	NA	embryo muscle	embryo muscle	SRP677078	SRS28096071	0.984	0.552	17.142	0.859	0.653	0.947	1172.96	25222	13786.18	1036
SRX327661	SRS464200	NA	NA	NA	SRP028242	SRS464200	0.994	0.648	10.480	0.854	0.866	0.924	1274.74	22927	11191.26	1341
SRX327663	SRS464209	NA	NA	NA	SRP028242	SRS464209	0.995	0.633	10.819	0.837	0.666	0.942	1217.79	23464	11085.15	1163
SRX32975650	Ovary	NA	ovary	NA	SRP692297	SRS28812395	0.984	0.589	28.427	0.840	0.656	0.964	1063.54	38572	16175.18	1784
SRX32975651	Ovary	NA	ovary	NA	SRP692297	SRS28812396	0.985	0.602	27.814	0.844	0.660	0.963	1103.54	36643	15739.23	1939
SRX32975652	Ovary	NA	ovary	NA	SRP692297	SRS28812397	0.986	0.608	30.022	0.843	0.664	0.963	1052.47	38131	15378.07	1779
SRX32975653	Ovary	NA	ovary	NA	SRP692297	SRS28812398	0.983	0.599	28.606	0.838	0.639	0.964	1108.59	35861	15726.61	1780
SRX32975654	Ovary	NA	ovary	NA	SRP692297	SRS28812399	0.984	0.587	30.445	0.840	0.673	0.964	1085.27	39133	16711.69	1995
SRX32975655	Ovary	NA	ovary	NA	SRP692297	SRS28812400	0.983	0.577	29.283	0.838	0.631	0.964	1080.72	39232	16137.82	2066
SRX32975656	Ovary	NA	ovary	NA	SRP692297	SRS28812401	0.984	0.605	28.526	0.843	0.666	0.963	1075.59	37391	14963.09	1933
SRX32975657	Ovary	NA	ovary	NA	SRP692297	SRS28812402	0.985	0.601	27.462	0.840	0.664	0.963	1102.78	37718	15770.9	2021
SRX32975658	Ovary	NA	ovary	NA	SRP692297	SRS28812403	0.982	0.583	30.198	0.835	0.669	0.964	1070.0	38775	15367.1	2119
SRX32975659	Ovary	NA	ovary	NA	SRP692297	SRS28812404	0.985	0.575	28.020	0.843	0.662	0.963	1145.65	34074	15500.84	1816
SRX32975660	Ovary	NA	ovary	NA	SRP692297	SRS28812405	0.985	0.596	27.245	0.846	0.659	0.962	1112.09	37120	15905.65	2005
SRX32975661	Ovary	NA	ovary	NA	SRP692297	SRS28812406	0.984	0.574	29.394	0.841	0.661	0.964	1079.92	37818	15822.63	1938
SRX32975662	Ovary	NA	ovary	NA	SRP692297	SRS28812407	0.984	0.596	28.004	0.839	0.665	0.963	1102.21	37341	16309.78	1995
SRX32975663	Ovary	NA	ovary	NA	SRP692297	SRS28812408	0.983	0.592	28.188	0.832	0.667	0.964	1075.78	39106	16285.36	2054
SRX32975664	Ovary	NA	ovary	NA	SRP692297	SRS28812409	0.984	0.569	29.447	0.843	0.673	0.964	1153.46	30889	14533.47	1514
SRX32975665	Ovary	NA	ovary	NA	SRP692297	SRS28812410	0.985	0.601	26.942	0.839	0.646	0.963	1104.95	38134	17143.47	1829
