ficAlb	59894	Ficedula albicollis	2013-07-14 16:35:24	vertebrates_other/Ficedula_albicollis/FicAlb1.5/ASSEMBLY_INFO
fulGla	30455	Fulmarus glacialis	2014-06-04 10:23:03	vertebrates_other/Fulmarus_glacialis/ASM69083v1/ASSEMBLY_INFO
gadMor	8049	Gadus morhua	2012-11-14 10:16:19	vertebrates_other/Gadus_morhua/GadMor_May2010/ASSEMBLY_INFO
galGal	9031	Gallus gallus	2012-11-14 10:16:19	vertebrates_other/Gallus_gallus/Gallus_gallus-4.0/ASSEMBLY_INFO
galVar	482537	Galeopterus variegatus	2014-06-09 10:23:06	vertebrates_mammals/Galeopterus_variegatus/G_variegatus-3.0.2/ASSEMBLY_INFO
gavSte	37040	Gavia stellata	2014-06-04 10:23:03	vertebrates_other/Gavia_stellata/ASM69087v1/ASSEMBLY_INFO
geoFor	48883	Geospiza fortis	2012-11-14 10:16:19	vertebrates_other/Geospiza_fortis/GeoFor_1.0/ASSEMBLY_INFO
gorGor	9595	Gorilla gorilla gorilla	2012-11-14 10:16:17	vertebrates_mammals/Gorilla_gorilla/gorGor3.1/ASSEMBLY_INFO
halAlb	8969	Haliaeetus albicilla	2014-06-04 10:23:03	vertebrates_other/Haliaeetus_albicilla/ASM69140v1/ASSEMBLY_INFO
hapBur	8153	Haplochromis burtoni	2012-11-14 10:16:19	vertebrates_other/Haplochromis_burtoni/AstBur1.0/ASSEMBLY_INFO
hetGla	10181	Heterocephalus glaber	2012-11-14 10:16:17	vertebrates_mammals/Heterocephalus_glaber/HetGla_1.0/ASSEMBLY_INFO
hetGla	10181	Heterocephalus glaber	2012-11-14 10:16:17	vertebrates_mammals/Heterocephalus_glaber/HetGla_female_1.0/ASSEMBLY_INFO
homSap	9606	Homo sapiens	2012-11-14 10:16:17	vertebrates_mammals/Homo_sapiens/BGIAF/ASSEMBLY_INFO
homSap	9606	Homo sapiens	2012-11-14 10:16:17	vertebrates_mammals/Homo_sapiens/CHM1_1.0/ASSEMBLY_INFO
homSap	9606	Homo sapiens	2012-11-14 10:16:17	vertebrates_mammals/Homo_sapiens/GRCh37.p1/ASSEMBLY_INFO
homSap	9606	Homo sapiens	2012-11-14 10:16:17	vertebrates_mammals/Homo_sapiens/GRCh37.p10/ASSEMBLY_INFO
homSap	9606	Homo sapiens	2012-11-14 10:16:17	vertebrates_mammals/Homo_sapiens/GRCh37.p2/ASSEMBLY_INFO
homSap	9606	Homo sapiens	2012-11-14 10:16:17	vertebrates_mammals/Homo_sapiens/GRCh37.p3/ASSEMBLY_INFO
homSap	9606	Homo sapiens	2012-11-14 10:16:17	vertebrates_mammals/Homo_sapiens/GRCh37.p4/ASSEMBLY_INFO
homSap	9606	Homo sapiens	2012-11-14 10:16:17	vertebrates_mammals/Homo_sapiens/GRCh37.p5/ASSEMBLY_INFO
homSap	9606	Homo sapiens	2012-11-14 10:16:17	vertebrates_mammals/Homo_sapiens/GRCh37.p6/ASSEMBLY_INFO
homSap	9606	Homo sapiens	2012-11-14 10:16:17	vertebrates_mammals/Homo_sapiens/GRCh37.p7/ASSEMBLY_INFO
homSap	9606	Homo sapiens	2012-11-14 10:16:18	vertebrates_mammals/Homo_sapiens/GRCh37.p8/ASSEMBLY_INFO
homSap	9606	Homo sapiens	2012-11-14 10:16:18	vertebrates_mammals/Homo_sapiens/GRCh37.p9/ASSEMBLY_INFO
homSap	9606	Homo sapiens	2012-11-14 10:16:18	vertebrates_mammals/Homo_sapiens/GRCh37/ASSEMBLY_INFO
homSap	9606	Homo sapiens	2012-11-14 10:16:18	vertebrates_mammals/Homo_sapiens/HsapALLPATHS1/ASSEMBLY_INFO
homSap	9606	Homo sapiens	2012-11-14 10:16:18	vertebrates_mammals/Homo_sapiens/YH1/ASSEMBLY_INFO
homSap	9606	Homo sapiens	2013-01-03 06:25:10	vertebrates_mammals/Homo_sapiens/GRCh37.p11/ASSEMBLY_INFO
homSap	9606	Homo sapiens	2013-04-28 10:38:55	vertebrates_mammals/Homo_sapiens/GRCh37.p12/ASSEMBLY_INFO
homSap	9606	Homo sapiens	2013-06-22 19:09:29	vertebrates_mammals/Homo_sapiens/CHM1_1.1/ASSEMBLY_INFO
homSap	9606	Homo sapiens	2013-06-22 19:09:32	vertebrates_mammals/Homo_sapiens/YH_2.0/ASSEMBLY_INFO
homSap	9606	Homo sapiens	2013-07-14 16:35:18	vertebrates_mammals/Homo_sapiens/GRCh37.p13/ASSEMBLY_INFO
homSap	9606	Homo sapiens	2013-08-15 10:23:13	vertebrates_mammals/Homo_sapiens/RP11_1.0_unmatched_regions/ASSEMBLY_INFO
homSap	9606	Homo sapiens	2013-12-24 10:23:06	vertebrates_mammals/Homo_sapiens/GRCh38/ASSEMBLY_INFO
jacJac	51337	Jaculus jaculus	2012-11-14 10:16:18	vertebrates_mammals/Jaculus_jaculus/JacJac1.0/ASSEMBLY_INFO
latCha	7897	Latimeria chalumnae	2012-11-14 10:16:19	vertebrates_other/Latimeria_chalumnae/LatCha1/ASSEMBLY_INFO
latCha	7897	Latimeria chalumnae	2014-04-08 10:23:08	vertebrates_other/Latimeria_chalumnae/LatCha_J1.0/ASSEMBLY_INFO
lepDis	188344	Leptosomus discolor	2014-06-04 10:23:03	vertebrates_other/Leptosomus_discolor/ASM69178v1/ASSEMBLY_INFO
lepOcu	7918	Lepisosteus oculatus	2012-11-14 10:16:19	vertebrates_other/Lepisosteus_oculatus/LepOcu1/ASSEMBLY_INFO
lepWed	9713	Leptonychotes weddellii	2013-04-28 10:38:57	vertebrates_mammals/Leptonychotes_weddellii/LepWed1.0/ASSEMBLY_INFO
letCam	980415	Lethenteron camtschaticum	2013-09-17 10:23:03	vertebrates_other/Lethenteron_camtschaticum/LetJap1.0/ASSEMBLY_INFO
lipVex	118797	Lipotes vexillifer	2013-08-15 10:23:13	vertebrates_mammals/Lipotes_vexillifer/Lipotes_vexillifer_v1/ASSEMBLY_INFO
