accession	label	cell_type	tissue	_source_name	_study	__sample	__bsrate	__meth	__depth	__mapping	__uniq	__sites	__hmr_size	__hmr_count	__pmd_size	__pmd_count
SRX30022756	Embryo	NA	Embryo	Embryo	SRP607079	SRS26094677	0.975	0.413	13.807	0.508	0.340	0.951	5273.66	39297	86010.59	4920
SRX30022757	Embryo	NA	Embryo	Embryo	SRP607079	SRS26094678	0.975	0.391	12.722	0.595	0.599	0.951	11834.73	42684	123159.54	4686
SRX30022758	Embryo	NA	Embryo	Embryo	SRP607079	SRS26094679	0.976	0.378	13.044	0.607	0.606	0.952	6806.58	41544	116342.79	3667
SRX30022759	Embryo	NA	Embryo	Embryo	SRP607079	SRS26094680	0.974	0.433	9.249	0.611	0.639	0.940	9523.95	36422	230878.5	2409
SRX30022760	Embryo	NA	Embryo	Embryo	SRP607079	SRS26094681	0.975	0.405	12.828	0.519	0.480	0.950	9211.89	41991	106835.63	4664
SRX30022765	Oocyte	NA	Oocyte	Oocyte	SRP607079	SRS26094688	0.977	0.603	11.061	0.632	0.205	0.945	1393.43	41499	44348.6	1204
SRX30022766	Oocyte	NA	Oocyte	Oocyte	SRP607079	SRS26094686	0.974	0.595	4.823	0.552	0.072	0.875	3417.05	30197	941288.52	718
SRX30022767	Oocyte	NA	Oocyte	Oocyte	SRP607079	SRS26094687	0.976	0.607	7.785	0.573	0.099	0.925	1713.83	39542	70977.71	1340
SRX8073305	Skeletal Muscle	NA	skeletal muscle	NA	SRP255584	SRS6441784	0.995	0.673	13.892	0.836	0.589	0.947	1266.59	48555	22067.02	2313
SRX8073306	Skeletal Muscle	NA	skeletal muscle	NA	SRP255584	SRS6441785	0.995	0.669	11.193	0.833	0.350	0.947	1263.62	45278	24369.04	1930
SRX8073307	Skeletal Muscle	NA	skeletal muscle	NA	SRP255584	SRS6441786	0.995	0.666	13.186	0.833	0.483	0.949	1243.94	47749	24898.76	2293
SRX8073308	Skeletal Muscle	NA	skeletal muscle	NA	SRP255584	SRS6441787	0.995	0.661	11.297	0.834	0.445	0.948	1291.9	41343	22788.13	2192
SRX8073309	Skeletal Muscle	NA	skeletal muscle	NA	SRP255584	SRS6441788	0.994	0.661	11.824	0.838	0.454	0.947	1387.75	45306	51291.23	3346
SRX8073310	Skeletal Muscle	NA	skeletal muscle	NA	SRP255584	SRS6441789	0.994	0.670	14.270	0.837	0.496	0.951	1266.06	47277	29482.86	2674
SRX8923701	Subcutaneous Fat	NA	subcutaneous fat	NA	SRP277012	SRS7179957	0.997	0.702	11.601	0.852	0.662	0.919	1260.0	32446	13446.46	1551
SRX8923702	Subcutaneous Fat	NA	subcutaneous fat	NA	SRP277012	SRS7179958	0.997	0.708	11.941	0.853	0.674	0.921	1196.49	33506	9351.8	1680
SRX8923703	Longissimus Dorsi Muscle	NA	longissimus dorsi muscle	NA	SRP277012	SRS7179959	0.996	0.687	11.496	0.851	0.623	0.918	1298.87	33101	17002.49	1893
SRX8923704	Longissimus Dorsi Muscle	NA	longissimus dorsi muscle	NA	SRP277012	SRS7179960	0.996	0.680	11.996	0.852	0.624	0.921	1328.08	34111	21429.14	1842
SRX8923705	Subcutaneous Fat	NA	subcutaneous fat	NA	SRP277012	SRS7179961	0.997	0.710	11.905	0.852	0.638	0.913	1251.47	32912	10159.37	1582
SRX8923706	Subcutaneous Fat	NA	subcutaneous fat	NA	SRP277012	SRS7179962	0.996	0.698	12.382	0.853	0.686	0.927	1222.19	35941	12737.22	1540
SRX8923707	Longissimus Dorsi Muscle	NA	longissimus dorsi muscle	NA	SRP277012	SRS7179963	0.996	0.668	12.971	0.842	0.616	0.946	1187.14	35415	24250.61	2256
SRX8923708	Longissimus Dorsi Muscle	NA	longissimus dorsi muscle	NA	SRP277012	SRS7179964	0.996	0.678	11.870	0.843	0.659	0.921	1310.46	32892	28401.98	2592
