accession	label	cell_type	tissue	_source_name	_study	__sample	__bsrate	__meth	__depth	__mapping	__uniq	__sites	__hmr_size	__hmr_count	__pmd_size	__pmd_count
SRX6828457	Hypothalamus	NA	Hypothalamus	hypothalamus	SRP221276	SRS5370633	0.987	0.682	2.670	0.881	0.358	0.738	1521.35	32916	59062.28	283
SRX6828458	Hypothalamus	NA	Hypothalamus	hypothalamus	SRP221276	SRS5370634	0.981	0.704	2.011	0.869	0.575	0.721	1602.49	28437	86200.22	229
SRX6828459	Hypothalamus	NA	Hypothalamus	hypothalamus	SRP221276	SRS5370635	0.979	0.718	2.693	0.863	0.484	0.798	1413.02	31351	63274.38	364
SRX6828460	Hypothalamus	NA	Hypothalamus	hypothalamus	SRP221276	SRS5370636	0.980	0.723	2.008	0.848	0.489	0.736	1524.1	28996	79708.38	314
SRX6828461	Hypothalamus	NA	Hypothalamus	hypothalamus	SRP221276	SRS5370637	0.975	0.721	1.913	0.837	0.446	0.724	1581.42	28403	86059.36	217
SRX6828463	Hypothalamus	NA	Hypothalamus	hypothalamus	SRP221276	SRS5370639	0.987	0.732	1.658	0.793	0.805	0.708	1665.72	29697	90722.62	206
SRX6828464	Hypothalamus	NA	Hypothalamus	hypothalamus	SRP221276	SRS5370640	0.986	0.722	2.131	0.803	0.784	0.772	1637.0	31770	62548.39	336
SRX6828465	Hypothalamus	NA	Hypothalamus	hypothalamus	SRP221276	SRS5370641	0.986	0.731	1.913	0.796	0.788	0.754	1606.61	29504	63543.83	358
SRX6828467	Hypothalamus	NA	Hypothalamus	hypothalamus	SRP221276	SRS5370643	0.986	0.741	1.905	0.797	0.770	0.757	1593.44	31012	77132.94	317
SRX6828468	Hypothalamus	NA	Hypothalamus	hypothalamus	SRP221276	SRS5370644	0.987	0.723	1.818	0.789	0.799	0.736	1674.58	30559	71246.11	323
SRX6828469	Hypothalamus	NA	Hypothalamus	hypothalamus	SRP221276	SRS5370645	0.986	0.738	1.602	0.787	0.796	0.706	1624.38	28829	95109.07	247
SRX6828471	Hypothalamus	NA	Hypothalamus	hypothalamus	SRP221276	SRS5370647	0.983	0.725	1.760	0.800	0.774	0.734	1687.61	27681	71599.77	265
